# Ghidra boundary artifacts among the <= 16 byte functions: RVAs whose
# retail bytes do not read as a complete function, so no source could ever
# reproduce them. tools/gen_small.py never claims one.
#
# Regenerate (deterministic, from the retail image): python3 tools/gen_small.py classify
# Format: 0x<rva> <reason>
0x0000113B mid-instruction-target: jmp rel32 to 0x007849C0, which is inside a known function and is not one's start
0x00001145 mid-instruction-target: jmp rel32 to 0x005819D0, which is inside a known function and is not one's start
0x000015E6 mid-instruction-target: jmp rel32 to 0x000A3260, which is inside a known function and is not one's start
0x00001A9B mid-instruction-target: jmp rel32 to 0x00337390, which is inside a known function and is not one's start
0x00001BA9 mid-instruction-target: jmp rel32 to 0x00169F80, which is inside a known function and is not one's start
0x000027E3 mid-instruction-target: jmp rel32 to 0x000A0120, which is inside a known function and is not one's start
0x0000346D mid-instruction-target: jmp rel32 to 0x0045BEB0, which is inside a known function and is not one's start
0x0000352B mid-instruction-target: jmp rel32 to 0x0029C100, which is inside a known function and is not one's start
0x000035BC mid-instruction-target: jmp rel32 to 0x00470940, which is inside a known function and is not one's start
0x000038D2 mid-instruction-target: jmp rel32 to 0x00191BB0, which is inside a known function and is not one's start
0x00004304 mid-instruction-target: jmp rel32 to 0x0060D980, which is inside a known function and is not one's start
0x00005493 mid-instruction-target: jmp rel32 to 0x0075D040, which is inside a known function and is not one's start
0x0000579F mid-instruction-target: jmp rel32 to 0x0016A020, which is inside a known function and is not one's start
0x00005CD1 mid-instruction-target: jmp rel32 to 0x000C9DF0, which is inside a known function and is not one's start
0x000060EB mid-instruction-target: jmp rel32 to 0x001F8690, which is inside a known function and is not one's start
0x00006555 mid-instruction-target: jmp rel32 to 0x00784A60, which is inside a known function and is not one's start
0x000068ED mid-instruction-target: jmp rel32 to 0x0075CF70, which is inside a known function and is not one's start
0x00006D6B mid-instruction-target: jmp rel32 to 0x0029C140, which is inside a known function and is not one's start
0x00007009 mid-instruction-target: jmp rel32 to 0x001C01B0, which is inside a known function and is not one's start
0x00007298 mid-instruction-target: jmp rel32 to 0x002E2D80, which is inside a known function and is not one's start
0x0000804E mid-instruction-target: jmp rel32 to 0x002AF0E0, which is inside a known function and is not one's start
0x0000831E mid-instruction-target: jmp rel32 to 0x00752070, which is inside a known function and is not one's start
0x000084E5 mid-instruction-target: jmp rel32 to 0x001C02E0, which is inside a known function and is not one's start
0x00008BCA mid-instruction-target: jmp rel32 to 0x0075D610, which is inside a known function and is not one's start
0x00008DD7 mid-instruction-target: jmp rel32 to 0x0075D0F0, which is inside a known function and is not one's start
0x000091F1 mid-instruction-target: jmp rel32 to 0x001F86F0, which is inside a known function and is not one's start
0x0000A05B mid-instruction-target: jmp rel32 to 0x00412650, which is inside a known function and is not one's start
0x0000A097 mid-instruction-target: jmp rel32 to 0x0016A030, which is inside a known function and is not one's start
0x0000A245 mid-instruction-target: jmp rel32 to 0x002D8290, which is inside a known function and is not one's start
0x0000A3E9 mid-instruction-target: jmp rel32 to 0x007838D0, which is inside a known function and is not one's start
0x0000A5BF mid-instruction-target: jmp rel32 to 0x00511540, which is inside a known function and is not one's start
0x0000A97F mid-instruction-target: jmp rel32 to 0x003CBC90, which is inside a known function and is not one's start
0x0000A9DE mid-instruction-target: jmp rel32 to 0x0013A2F0, which is inside a known function and is not one's start
0x0000BAA0 mid-instruction-target: jmp rel32 to 0x00232B40, which is inside a known function and is not one's start
0x0000C0F9 mid-instruction-target: jmp rel32 to 0x001223E0, which is inside a known function and is not one's start
0x0000C239 mid-instruction-target: jmp rel32 to 0x00367A20, which is inside a known function and is not one's start
0x0000C482 mid-instruction-target: jmp rel32 to 0x00711BC0, which is inside a known function and is not one's start
0x0000C7D4 mid-instruction-target: jmp rel32 to 0x005705A0, which is inside a known function and is not one's start
0x0000C8E7 mid-instruction-target: jmp rel32 to 0x000B9270, which is inside a known function and is not one's start
0x0000CAF9 mid-instruction-target: jmp rel32 to 0x002E2D30, which is inside a known function and is not one's start
0x0000CD33 mid-instruction-target: jmp rel32 to 0x002329C0, which is inside a known function and is not one's start
0x0000D6B6 mid-instruction-target: jmp rel32 to 0x00696940, which is inside a known function and is not one's start
0x0000DDA0 mid-instruction-target: jmp rel32 to 0x0013A2D0, which is inside a known function and is not one's start
0x0000DE90 mid-instruction-target: jmp rel32 to 0x000EB130, which is inside a known function and is not one's start
0x0000E14C mid-instruction-target: jmp rel32 to 0x00232A60, which is inside a known function and is not one's start
0x0000E214 mid-instruction-target: jmp rel32 to 0x00759EF0, which is inside a known function and is not one's start
0x0000EA93 mid-instruction-target: jmp rel32 to 0x0040E250, which is inside a known function and is not one's start
0x0000EAC0 mid-instruction-target: jmp rel32 to 0x00232A10, which is inside a known function and is not one's start
0x0000ECD2 mid-instruction-target: jmp rel32 to 0x003AC650, which is inside a known function and is not one's start
0x0000F99D mid-instruction-target: jmp rel32 to 0x0018B3D0, which is inside a known function and is not one's start
0x0000FB23 gap-target-padding: jmp rel32 to 0x0005D550, which is int3/nop fill, not a function start
0x000101CC mid-instruction-target: jmp rel32 to 0x00169F90, which is inside a known function and is not one's start
0x000104E2 mid-instruction-target: jmp rel32 to 0x00367A60, which is inside a known function and is not one's start
0x00010956 mid-instruction-target: jmp rel32 to 0x0075D260, which is inside a known function and is not one's start
0x000109DD mid-instruction-target: jmp rel32 to 0x004726A0, which is inside a known function and is not one's start
0x00010CC1 mid-instruction-target: jmp rel32 to 0x000DDE40, which is inside a known function and is not one's start
0x000111DF mid-instruction-target: jmp rel32 to 0x00122260, which is inside a known function and is not one's start
