iat_va,dll,name,hint
0x01358C80,TAPI32.dll,lineAnswer,35
0x01358C84,TAPI32.dll,lineClose,39
0x01358C88,TAPI32.dll,lineGetDevCaps,101
0x01358C8C,TAPI32.dll,lineGetID,109
0x01358C90,TAPI32.dll,lineInitialize,139
0x01358C94,TAPI32.dll,lineMakeCall,142
0x01358C98,TAPI32.dll,lineNegotiateAPIVersion,148
0x01358C9C,TAPI32.dll,lineOpen,150
0x01358CA0,TAPI32.dll,lineShutdown,208
0x01358CA8,NETAPI32.dll,Netbios,273
0x01358CB0,WS2_32.dll,WSAIoctl,73
0x01358CB4,WS2_32.dll,getsockopt,6
0x01358CB8,WS2_32.dll,recv,15
0x01358CBC,WS2_32.dll,recvfrom,16
0x01358CC0,WS2_32.dll,setsockopt,20
0x01358CC8,KERNEL32.dll,AllocConsole,19
0x01358CCC,KERNEL32.dll,CloseHandle,84
0x01358CD0,KERNEL32.dll,CompareStringA,99
0x01358CD4,KERNEL32.dll,CompareStringW,102
0x01358CD8,KERNEL32.dll,CopyFileA,114
0x01358CDC,KERNEL32.dll,CreateDirectoryA,126
0x01358CE0,KERNEL32.dll,CreateDirectoryW,131
0x01358CE4,KERNEL32.dll,CreateEventA,132
0x01358CE8,KERNEL32.dll,CreateFileA,138
0x01358CEC,KERNEL32.dll,CreateFileMappingA,139
0x01358CF0,KERNEL32.dll,CreateFileW,145
0x01358CF4,KERNEL32.dll,CreateMutexA,157
0x01358CF8,KERNEL32.dll,CreateMutexW,160
0x01358CFC,KERNEL32.dll,CreateProcessA,166
0x01358D00,KERNEL32.dll,CreateThread,183
0x01358D04,KERNEL32.dll,CreateToolhelp32Snapshot,192
0x01358D08,KERNEL32.dll,DebugBreak,201
0x01358D0C,KERNEL32.dll,DeleteCriticalSection,211
0x01358D10,KERNEL32.dll,DeleteFileA,213
0x01358D14,KERNEL32.dll,DosDateTimeToFileTime,230
0x01358D18,KERNEL32.dll,EnterCriticalSection,240
0x01358D1C,KERNEL32.dll,EnumSystemLocalesA,271
0x01358D20,KERNEL32.dll,ExitProcess,283
0x01358D24,KERNEL32.dll,FileTimeToDosDateTime,293
0x01358D28,KERNEL32.dll,FindClose,304
0x01358D2C,KERNEL32.dll,FindFirstFileA,308
0x01358D30,KERNEL32.dll,FindNextFileA,325
0x01358D34,KERNEL32.dll,FindResourceA,333
0x01358D38,KERNEL32.dll,FindResourceW,336
0x01358D3C,KERNEL32.dll,FormatMessageA,351
0x01358D40,KERNEL32.dll,FormatMessageW,352
0x01358D44,KERNEL32.dll,FreeConsole,353
0x01358D48,KERNEL32.dll,FreeLibrary,356
0x01358D4C,KERNEL32.dll,GetACP,362
0x01358D50,KERNEL32.dll,GetCPInfo,372
0x01358D54,KERNEL32.dll,GetCommConfig,386
0x01358D58,KERNEL32.dll,GetCommState,390
0x01358D5C,KERNEL32.dll,GetCommandLineA,392
0x01358D60,KERNEL32.dll,GetComputerNameA,398
0x01358D64,KERNEL32.dll,GetConsoleScreenBufferInfo,436
0x01358D68,KERNEL32.dll,GetConsoleTitleA,439
0x01358D6C,KERNEL32.dll,GetCurrentDirectoryA,448
0x01358D70,KERNEL32.dll,GetCurrentProcess,450
0x01358D74,KERNEL32.dll,GetCurrentProcessId,451
0x01358D78,KERNEL32.dll,GetCurrentThread,454
0x01358D7C,KERNEL32.dll,GetCurrentThreadId,455
0x01358D80,KERNEL32.dll,GetDateFormatA,456
0x01358D84,KERNEL32.dll,GetDateFormatW,458
0x01358D88,KERNEL32.dll,GetDiskFreeSpaceExA,463
0x01358D8C,KERNEL32.dll,GetDriveTypeA,468
0x01358D90,KERNEL32.dll,GetEnvironmentStrings,474
