finding,file,line,confidence,source
AsciiString+0x0|m_bfmeSlot0|m_data,Code/GameEngine/Source/Common/RTS/AsciiStringEqualityShim.cpp,35,1.00,layout_witness
AudioEventRTS+0x20|m_pitchShift|m_priority,Code/GameEngine/Source/Common/Audio/AudioEventRTSCopyCtor.cpp,90,1.00,layout_witness
AudioEventRTS+0x20|m_pitchShift|m_priority,Code/GameEngine/Source/Common/Audio/AudioEventRTSCommonInit.cpp,78,1.00,layout_witness
AudioEventRTS+0x34|m_position|m_positionOfAudio,Code/GameEngine/Source/Common/Audio/AudioEventRTSCtorObjectID.cpp,116,1.00,layout_witness
AudioEventRTS+0x34|m_position|m_positionOfAudio,Code/GameEngine/Source/Common/Audio/AudioEventRTSCopyCtor.cpp,95,1.00,layout_witness
AudioEventRTS+0x34|m_position|m_positionOfAudio,Code/GameEngine/Source/Common/Audio/AudioEventRTSCommonInit.cpp,83,1.00,layout_witness
AutoHealBehaviorModuleData+0x88|m_bits|m_kindOf,Code/GameEngine/Source/GameLogic/Object/Behavior/AutoHealBehaviorModuleDataCtor.cpp,47,1.00,field_names
BattlePlanUpdateModuleData+0x8|m_base|m_specialPowerTemplate,Code/GameEngine/Source/GameLogic/AI/BattlePlanUpdateModuleDataCtorThunk.cpp,34,1.00,field_names
BuildListInfo+0x84|m_currentGatherers|m_desiredGatherers,Code/GameEngine/Source/GameLogic/AI/AIPlayerSupply.cpp,135,1.00,layout_witness
Campaign+0xc|m_slice_padB|m_campaignNameLabel,Code/GameEngine/Source/GameClient/System/Campaign_getNextMission.cpp,94,1.00,field_names
Campaign+0xc|m_slice_padB|m_campaignNameLabel,Code/GameEngine/Source/GameClient/System/Campaign_newMission.cpp,111,1.00,field_names
ControlBar+0x60|m_slice_padB|m_currContext,Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBarContextUI.cpp,545,1.00,layout_witness
ControlBar+0x74|m_slice_padC|m_rightHUDWindow,Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBarContextUI.cpp,549,1.00,layout_witness
CrateTemplate+0x18|m_bfmeChances|m_killedByTypeKindof,Code/GameEngine/Source/Common/CrateTemplateAssign.cpp,77,1.00,field_names
DemoTrapUpdateModuleData+0xc|m_block|m_ignoreKindOf,Code/GameEngine/Source/GameLogic/AI/DemoTrapUpdateModuleDataCtorThunk.cpp,25,1.00,field_names
Drawable+0x78|m_preColorTime|m_effectiveStealthOpacity,Code/GameEngine/Source/GameClient/DrawableVisualState.cpp,194,1.00,layout_witness
GameInfo+0x34|m_localAddress|m_localIP,Code/GameEngine/Source/GameNetwork/LANGameInfoBodies.cpp,242,1.00,layout_witness
GameSlot+0x2c|m_bfmeSlotNameKeyText|m_IP,Code/GameEngine/Source/GameNetwork/Network_processDestroyPlayerCommand.cpp,76,1.00,layout_witness
GameSlot+0x30|m_address|m_connectInfo,Code/GameEngine/Source/GameNetwork/LANAPIMessageHandlers.cpp,97,1.00,layout_witness
GameSlot+0x30|m_address|m_connectInfo,Code/GameEngine/Source/GameNetwork/LANAPIOnAccept.cpp,60,1.00,layout_witness
GameSlot+0x30|m_address|m_connectInfo,Code/GameEngine/Source/GameNetwork/LANGameInfoBodies.cpp,137,1.00,layout_witness
GameWindow+0x14|m_regionLoX|m_region,Code/GameEngine/Source/Common/GameWindowTextAndHitTest.cpp,136,1.00,layout_witness
GameWindow+0xc|m_sizeX|m_size,Code/GameEngine/Source/Common/GameWindowTextAndHitTest.cpp,134,1.00,layout_witness
GlobalData+0xbb4|m_bfmeNoShellAudio|m_shellMapOn,Code/GameEngine/Source/GameClient/Shell_hide.cpp,107,1.00,field_names
Mission+0x8|m_bfme_map|m_mapName,Code/GameEngine/Source/GameClient/System/Campaign_getNextMission.cpp,78,1.00,field_names
Mouse+0x4d10|m_pos|m_currMouse,Code/GameEngine/Source/GameClient/InGameUIBodies.cpp,146,0.91,layout_witness
NetCommandRef+0x10|m_timeLastSent|m_relay,Code/GameEngine/Source/GameNetwork/NetPacket_isRoomForFileAndChat.cpp,61,1.00,layout_witness
NetCommandRef+0x10|m_timeLastSent|m_relay,Code/GameEngine/Source/GameNetwork/NetPacket_isRoomForDisconnectFamily.cpp,62,1.00,layout_witness
NetCommandRef+0x10|m_timeLastSent|m_relay,Code/GameEngine/Source/GameNetwork/NetPacket_addCommandFamily.cpp,62,1.00,layout_witness
NetCommandRef+0x10|m_timeLastSent|m_relay,Code/GameEngine/Source/GameNetwork/NetPacket_isRoomForFrameFamily.cpp,64,1.00,layout_witness
NetCommandRef+0x10|m_timeLastSent|m_relay,Code/GameEngine/Source/GameNetwork/NetCommandRef_dtor.cpp,46,1.00,layout_witness
NetCommandRef+0x10|m_timeLastSent|m_relay,Code/GameEngine/Source/GameNetwork/Connection_processAck.cpp,43,1.00,layout_witness
NetCommandRef+0x10|m_timeLastSent|m_relay,Code/GameEngine/Source/GameNetwork/NetCommandWrapperList_getReadyCommands.cpp,41,1.00,layout_witness
NetCommandRef+0x10|m_timeLastSent|m_relay,Code/GameEngine/Source/GameNetwork/NetPacketCommandBodies.cpp,172,1.00,layout_witness
