vtable_rva	label	slot	func_rva	func_name
0xC73878	`vftable'	1	0x1464B	LoadPostProcess
0xC73878	`vftable'	2	0xD896	GetSnapshotName
0xC73878	`vftable'	3	0x28C1D	DoXfer
0xD0F980	`vftable'	1	0x3AED1	LoadPostProcess
0xD0F980	`vftable'	2	0x35198	GetSnapshotName
0xD0F980	`vftable'	3	0x3D924	DoXfer
0xD0F9D0	`vftable'	1	0x1EDC1	LoadPostProcess
0xD0F9D0	`vftable'	2	0x1DA43	GetSnapshotName
0xD0F9D0	`vftable'	3	0x3C5B	DoXfer
0xD0FA00	`vftable'	1	0x1B518	LoadPostProcess
0xD0FA00	`vftable'	2	0x3CA1	GetSnapshotName
0xD0FA00	`vftable'	3	0xB235	DoXfer
0xD0FC94	`vftable'	1	0x1B518	LoadPostProcess
0xD0FC94	`vftable'	2	0x3CA1	GetSnapshotName
0xD0FC94	`vftable'	3	0xB235	DoXfer
0xD0FE64	`vftable'	1	0x1464B	LoadPostProcess
0xD0FE64	`vftable'	2	0xD896	GetSnapshotName
0xD0FE64	`vftable'	3	0x28C1D	DoXfer
0xD108A0	`vftable'	1	0x2379F	LoadPostProcess
0xD108A0	`vftable'	2	0x35CA6	GetSnapshotName
0xD108A0	`vftable'	3	0x2EE88	DoXfer
0xD108B4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<1>'}	1	0x3DA50	thunk_FUN_009d5260
0xD108B8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x3DA50	thunk_FUN_009d5260
0xD108CC	`vftable'	1	0x2379F	LoadPostProcess
0xD108CC	`vftable'	2	0x35CA6	GetSnapshotName
0xD108CC	`vftable'	3	0x2EE88	DoXfer
0xD108E0	`vftable'	1	0x4B65A	LoadPostProcess
0xD108E0	`vftable'	2	0x1B3CE	GetSnapshotName
0xD108E0	`vftable'	3	0x49D64	DoXfer
0xD108F4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<0>'}	1	0x1640A	thunk_FUN_009d5620
0xD108F8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x1640A	thunk_FUN_009d5620
0xD1090C	`vftable'	1	0x4B65A	LoadPostProcess
0xD1090C	`vftable'	2	0x1B3CE	GetSnapshotName
0xD1090C	`vftable'	3	0x49D64	DoXfer
0xD10920	`vftable'	1	0x2EB90	LoadPostProcess
0xD10920	`vftable'	2	0x145C4	GetSnapshotName
0xD10920	`vftable'	3	0x201FD	DoXfer
0xD10934	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	1	0x42F55	thunk_FUN_009d5830
0xD10938	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x42F55	thunk_FUN_009d5830
0xD1094C	`vftable'	1	0x2EB90	LoadPostProcess
0xD1094C	`vftable'	2	0x145C4	GetSnapshotName
0xD1094C	`vftable'	3	0x201FD	DoXfer
0xD10960	`vftable'	1	0x3AED1	LoadPostProcess
0xD10960	`vftable'	2	0x35198	GetSnapshotName
0xD10960	`vftable'	3	0x3D924	DoXfer
0xD10974	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	1	0x4A647	thunk_FUN_009d59e0
0xD10978	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x4A647	thunk_FUN_009d59e0
0xD1098C	`vftable'	1	0x3AED1	LoadPostProcess
0xD1098C	`vftable'	2	0x35198	GetSnapshotName
0xD1098C	`vftable'	3	0x3D924	DoXfer
0xD109A0	`vftable'	1	0x3AED1	LoadPostProcess
0xD109A0	`vftable'	2	0x35198	GetSnapshotName
0xD109A0	`vftable'	3	0x3D924	DoXfer
0xD109B4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	1	0x3B822	thunk_FUN_009d5d90
0xD109B8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x3B822	thunk_FUN_009d5d90
0xD109CC	`vftable'	1	0x3AED1	LoadPostProcess
0xD109CC	`vftable'	2	0x35198	GetSnapshotName
0xD109CC	`vftable'	3	0x3D924	DoXfer
0xD109E0	`vftable'	1	0x3AED1	LoadPostProcess
0xD109E0	`vftable'	2	0x35198	GetSnapshotName
0xD109E0	`vftable'	3	0x3D924	DoXfer
0xD109F4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	1	0x119BE	thunk_FUN_009d60b0
0xD109F8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x119BE	thunk_FUN_009d60b0
0xD10A0C	`vftable'	1	0x3AED1	LoadPostProcess
0xD10A0C	`vftable'	2	0x35198	GetSnapshotName
0xD10A0C	`vftable'	3	0x3D924	DoXfer
0xD10A20	`vftable'	1	0x3AED1	LoadPostProcess
0xD10A20	`vftable'	2	0x35198	GetSnapshotName
0xD10A20	`vftable'	3	0x3D924	DoXfer
0xD10A34	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	1	0xF358	thunk_FUN_009d6380
0xD10A38	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0xF358	thunk_FUN_009d6380
0xD10A4C	`vftable'	1	0x3AED1	LoadPostProcess
0xD10A4C	`vftable'	2	0x35198	GetSnapshotName
0xD10A4C	`vftable'	3	0x3D924	DoXfer
0xD10A60	`vftable'	1	0x3AED1	LoadPostProcess
0xD10A60	`vftable'	2	0x35198	GetSnapshotName
0xD10A60	`vftable'	3	0x3D924	DoXfer
0xD10A74	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	1	0x2A9FA	thunk_FUN_009d6700
0xD10A78	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x2A9FA	thunk_FUN_009d6700
0xD10A8C	`vftable'	1	0x3AED1	LoadPostProcess
0xD10A8C	`vftable'	2	0x35198	GetSnapshotName
0xD10A8C	`vftable'	3	0x3D924	DoXfer
0xD10AA0	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	1	0x32A6F	thunk_FUN_009d6c70
0xD10AA4	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x32A6F	thunk_FUN_009d6c70
0xD10AB8	`vftable'	1	0x3AED1	LoadPostProcess
0xD10AB8	`vftable'	2	0x35198	GetSnapshotName
0xD10AB8	`vftable'	3	0x3D924	DoXfer
0xD10ACC	`vftable'	1	0x1EDC1	LoadPostProcess
0xD10ACC	`vftable'	2	0x1DA43	GetSnapshotName
0xD10ACC	`vftable'	3	0x3C5B	DoXfer
0xD10AE0	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0xC7BB	thunk_FUN_009d70f0
0xD10AE4	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0xC7BB	thunk_FUN_009d70f0
0xD10AF8	`vftable'	1	0x1EDC1	LoadPostProcess
0xD10AF8	`vftable'	2	0x1DA43	GetSnapshotName
0xD10AF8	`vftable'	3	0x3C5B	DoXfer
0xD10B0C	`vftable'	1	0x1EDC1	LoadPostProcess
0xD10B0C	`vftable'	2	0x1DA43	GetSnapshotName
0xD10B0C	`vftable'	3	0x3C5B	DoXfer
0xD10B20	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0x7C07	thunk_FUN_009d7480
0xD10B24	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x7C07	thunk_FUN_009d7480
0xD10B38	`vftable'	1	0x1EDC1	LoadPostProcess
0xD10B38	`vftable'	2	0x1DA43	GetSnapshotName
0xD10B38	`vftable'	3	0x3C5B	DoXfer
0xD10B4C	`vftable'	1	0x1EDC1	LoadPostProcess
0xD10B4C	`vftable'	2	0x1DA43	GetSnapshotName
0xD10B4C	`vftable'	3	0x3C5B	DoXfer
0xD10B60	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0x39F27	thunk_FUN_009d7600
0xD10B64	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x39F27	thunk_FUN_009d7600
0xD10B78	`vftable'	1	0x1EDC1	LoadPostProcess
0xD10B78	`vftable'	2	0x1DA43	GetSnapshotName
0xD10B78	`vftable'	3	0x3C5B	DoXfer
0xD10B8C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0x6B4F	thunk_FUN_009d7a10
0xD10B90	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x6B4F	thunk_FUN_009d7a10
0xD10BA4	`vftable'	1	0x1EDC1	LoadPostProcess
0xD10BA4	`vftable'	2	0x1DA43	GetSnapshotName
0xD10BA4	`vftable'	3	0x3C5B	DoXfer
0xD10BB8	`vftable'	1	0x1EDC1	LoadPostProcess
0xD10BB8	`vftable'	2	0x1DA43	GetSnapshotName
0xD10BB8	`vftable'	3	0x3C5B	DoXfer
0xD10BCC	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0x29CB2	thunk_FUN_009d7e20
0xD10BD0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x29CB2	thunk_FUN_009d7e20
0xD10BE4	`vftable'	1	0x1EDC1	LoadPostProcess
0xD10BE4	`vftable'	2	0x1DA43	GetSnapshotName
0xD10BE4	`vftable'	3	0x3C5B	DoXfer
0xD10BF8	`vftable'	1	0x48F27	LoadPostProcess
0xD10BF8	`vftable'	2	0x3BB1	GetSnapshotName
0xD10BF8	`vftable'	3	0xE53E	DoXfer
0xD10C0C	`vftable'	1	0x48F27	LoadPostProcess
0xD10C0C	`vftable'	2	0x3BB1	GetSnapshotName
0xD10C0C	`vftable'	3	0xE53E	DoXfer
0xD10C20	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<3>'}	1	0x2CF34	thunk_FUN_009d8140
0xD10C24	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x2CF34	thunk_FUN_009d8140
0xD10C38	`vftable'	1	0x24E9C	LoadPostProcess
0xD10C38	`vftable'	2	0xA894	GetSnapshotName
0xD10C38	`vftable'	3	0x1F087	DoXfer
0xD10C4C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	1	0x150DC	thunk_FUN_009d84c0
0xD10C50	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x150DC	thunk_FUN_009d84c0
0xD10C64	`vftable'	1	0x24E9C	LoadPostProcess
0xD10C64	`vftable'	2	0xA894	GetSnapshotName
0xD10C64	`vftable'	3	0x1F087	DoXfer
0xD10C78	`vftable'	1	0x3D88E	LoadPostProcess
0xD10C78	`vftable'	2	0x4009D	GetSnapshotName
0xD10C78	`vftable'	3	0x1B1A3	DoXfer
0xD10C8C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	1	0x49742	thunk_FUN_009d8820
0xD10C90	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x49742	thunk_FUN_009d8820
0xD10CA4	`vftable'	1	0x3D88E	LoadPostProcess
0xD10CA4	`vftable'	2	0x4009D	GetSnapshotName
0xD10CA4	`vftable'	3	0x1B1A3	DoXfer
0xD10CB8	`vftable'	1	0x205E5	LoadPostProcess
0xD10CB8	`vftable'	2	0x24839	GetSnapshotName
