rva	size	similarity	margin	zh_symbol	zh_source
0x0007E9B0	868	0.70	0.70	?applyStaticLODLevel@GameLODManager@@IAEXW4StaticGameLODLevel@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/GameLOD.cpp
0x0009B150	636	0.75	0.75	?playbackFile@RecorderClass@@QAE_NVAsciiString@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Recorder.cpp
0x0009B6C0	1462	0.72	0.72	?startRecording@RecorderClass@@IAEXW4GameDifficulty@@HHH@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Recorder.cpp
0x0009BDF0	391	0.65	0.65	?testVersionPlayback@RecorderClass@@QAE_NVAsciiString@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Recorder.cpp
0x0009BFE0	335	0.86	0.86	?updateRecord@RecorderClass@@QAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Recorder.cpp
0x000AE0A0	921	0.65	0.65	?loadProfile@LadderPreferences@@QAE_NH@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/UserPreferences.cpp
0x000C1D10	250	0.85	0.03	??A?$map@VUnicodeString@@V1@U?$less@VUnicodeString@@@_STL@@V?$allocator@U?$pair@$$CBVUnicodeString@@V1@@_STL@@@3@@_STL@@QAEAAVUnicodeString@@ABV2@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameNetwork/LANGameInfo.cpp
0x000C1E50	1154	0.62	0.22	?parseMapCacheDefinition@INI@@SAXPAV1@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/INI/INIMapCache.cpp
0x000C47F0	275	0.60	0.16	?canDoSpecialPower@ActionManager@@QAE_NPBVObject@@PBVSpecialPowerTemplate@@W4CommandSourceType@@I_N@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/ActionManager.cpp
0x000D22A0	332	0.66	0.29	?setObjectsEnabled@Player@@QAEXVAsciiString@@_N@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/Player.cpp
0x000DD440	1043	0.75	0.30	??1Player@@UAE@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/Player.cpp
0x000EF0D0	351	0.80	0.80	?xfer@TeamFactory@@MAEXPAVXfer@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/Team.cpp
0x000F5592	247	0.81	0.00	?noneInside@Team@@QBE_NPAVPolygonTrigger@@I@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/Team.cpp
0x000F9FF0	181	0.75	0.75	??0MapMetaData@@QAE@ABV0@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/INI/INIMapCache.cpp
0x000FC010	519	0.79	0.79	?buildTiledLocations@BuildAssistant@@UAEPAUTileBuildInfo@1@PBVThingTemplate@@MPBUCoord3D@@1MHPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/System/BuildAssistant.cpp
0x000FC780	612	0.92	0.92	?iterateFootprint@BuildAssistant@@QAEXPBVThingTemplate@@MPBUCoord3D@@MP6AX1PAX@Z2@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/System/BuildAssistant.cpp
0x001003C0	344	0.66	0.66	?sellObject@BuildAssistant@@UAEXPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/System/BuildAssistant.cpp
0x00101820	626	0.67	0.67	?buildObjectNow@BuildAssistant@@UAEPAVObject@@PAV2@PBVThingTemplate@@PBUCoord3D@@MPAVPlayer@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/System/BuildAssistant.cpp
0x001086C0	734	0.76	0.76	?addObject@Radar@@QAEXPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/System/Radar.cpp
0x0010B550	205	0.79	0.79	?getUpgradeNames@UpgradeCenter@@QBE?AV?$vector@VAsciiString@@V?$allocator@VAsciiString@@@_STL@@@_STL@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/System/Upgrade.cpp
0x0010CC40	441	0.64	0.64	?xferUpgradeMask@Xfer@@UAEXPAV?$BitFlags@$0IA@@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/System/Xfer.cpp
0x0013FB60	225	1.00	0.57	?friend_getAIModuleInfo@ThingTemplate@@QAEPAVAIUpdateModuleData@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp
0x0013FC80	242	0.94	0.52	?friend_getAIModuleInfo@ThingTemplate@@QAEPAVAIUpdateModuleData@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp
0x00145DF0	364	0.63	0.63	?parseArbitrarySoundsIntoMap@@YAXPAVINI@@PAX1PBX@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp
0x00155490	509	0.82	0.82	?groupScatter@AIGroup@@QAEXW4CommandSourceType@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIGroup.cpp
0x0015C7A0	476	0.79	0.13	?onEnter@AIGuardOuterState@@UAE?AW4StateReturnType@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIGuard.cpp
0x0015CB70	284	0.81	0.04	?onEnter@AITNGuardAttackAggressorState@@UAE?AW4StateReturnType@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AITNGuard.cpp
