size,rva,pinned_name,zh_twin,dump_file
4714,0x989a20,??0ParticleBufferClass@@QAE@ABV0@@Z,,ParticleBufferClass_copy_ctor.asm
3726,0x7be000,?updateMeshVolume@W3DVolumetricShadow@@IAEXHHPBVMatrix3D@@ABVAABoxClass@@M@Z,,d_007be000.asm
2924,0x997c80,_luaV_execute,,d_009817d0.asm
2633,0x8af650,?rva008AF650Implementation@@YAXHHH@Z,,d_008af650.asm
2531,0x93a810,?Flush@SortingRendererClass@@SAXXZ,?Flush@SortingRendererClass@@SAXXZ,sortingrenderer_Flush.asm
2153,0x7073d0,?insertY@W3DRoadBufferInsertYShim@@QAE_NVVector2@@HM@Z,,d_007039e0.asm
2153,0x4b42f0,?gen004B42F0@@YAXPAX000@Z,,GadgetComboBoxSystem.asm
1983,0x93eb50,?helper_006f4660@@YGXHHHH@Z,,d_00939520.asm
1969,0x552100,?_bfme_update@BfmeAptScreenOnlineLogin@@UAEXXZ,,d_0054f920.asm
1935,0x545310,??0S4Guarded0055BCA0@@QAE@H@Z,,d_00545310.asm
1932,0xa41f0,?_bfme_updateSkirmishBattleHonors@@YAXPAVPlayer@@@Z,,d_0009fff0.asm
1814,0x4550c0,?write@MapCacheWriteCacheINIShim@@QAEX_N@Z,,d_004550c0.asm
1763,0x98ad00,?Render_Line@ParticleBufferClass@@IAEXAAVRenderInfoClass@@@Z,,ParticleBufferClass_Render_Line.asm
1757,0x8cbdf0,?gen008CBDF0@@YAXPAX0H0@Z,,d_008cb600.asm
1744,0x388c10,?_bfme_reportDesync@GameLogic@@QAEXXZ,,d_00384fd0.asm
1724,0x825680,?bfmeCallEMD@BfmeObjEMD@@QAEXPAX00@Z,,d_0081de40.asm
1714,0x4e3d40,?populateSideInfo@@YAXVUnicodeString@@PAUScoreGather@@HI@Z,,d_004d3970.asm
1692,0x81b010,_Rva0081B010,,d_00817640.asm
1684,0x6386f0,?generateGameSpyGameResultsPacket@GameSpyStagingRoom@@QAE?AVAsciiString@@_N@Z,,d_00630d60.asm
1636,0x5484e0,??0S4Guarded0055BAA0@@QAE@H@Z,,d_00545310.asm
1579,0x8d0f10,_bfmeStep1212A,,d_008cb600.asm
