function,source,size,candidate_rva,aligned_pct,class,first_diff,hint,votes
??0?$DynamicVectorClass@PAUW3dAggregateSubobjectStruct@@@@QAE@IPBQAUW3dAggregateSubobjectStruct@@@Z,agg_def.cpp,93,0x00981380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??0?$DynamicVectorClass@PAVRenderObjClass@@@@QAE@IPBQAVRenderObjClass@@@Z,agg_def.cpp,93,0x00981380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
?getSingleBitFromName@?$BitFlags@$0HE@@@SAHPBD@Z,battleplanupdate.cpp,71,0x0020E380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,6
??0?$_Deque_base@VBuddyRequest@@V?$allocator@VBuddyRequest@@@_STL@@@_STL@@QAE@ABV?$allocator@VBuddyRequest@@@1@I@Z,buddythread.cpp,76,0x009ED980,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??0?$_Deque_base@VBuddyResponse@@V?$allocator@VBuddyResponse@@@_STL@@@_STL@@QAE@ABV?$allocator@VBuddyResponse@@@1@I@Z,buddythread.cpp,76,0x009ED980,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??4?$_Rb_tree@GU?$pair@$$CBGE@_STL@@U?$_Select1st@U?$pair@$$CBGE@_STL@@@2@U?$less@G@2@V?$allocator@U?$pair@$$CBGE@_STL@@@2@@_STL@@QAEAAV01@ABV01@@Z,connectionmanager.cpp,178,0x0076ABF0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,11
?InitDbghelp@@YAXXZ,debug_stack.cpp,329,0x0088C550,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,23
?DownloadMenuInit@@YAXPAVWindowLayout@@PAX@Z,downloadmenu.cpp,459,0x004C74B0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,42
?_M_skip_to_next@?$_Hashtable_iterator@U?$pair@$$CBVAsciiString@@PAUAudioEventInfo@@@_STL@@VAsciiString@@U?$hash@VAsciiString@@@rts@@U?$_Select1st@U?$pair@$$CBVAsciiString@@PAUAudioEventInfo@@@_STL@@@2@U?$equal_to@VAsciiString@@@5@V?$allocator@U?$pair@$$CBVAsciiString@@PAUAudioEventInfo@@@_STL@@@2@@_STL@@QAEPAU?$_Hashtable_node@U?$pair@$$CBVAsciiString@@PAUAudioEventInfo@@@_STL@@@2@XZ,gameaudio.cpp,65,0x007A5180,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?push_back@?$vector@VAsciiString@@V?$allocator@VAsciiString@@@_STL@@@_STL@@QAEXABVAsciiString@@@Z,gameaudio.cpp,62,0x00757E20,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?_M_skip_to_next@?$_Hashtable_iterator@U?$pair@$$CBVAsciiString@@W4BuildableStatus@@@_STL@@VAsciiString@@U?$hash@VAsciiString@@@rts@@U?$_Select1st@U?$pair@$$CBVAsciiString@@W4BuildableStatus@@@_STL@@@2@U?$equal_to@VAsciiString@@@5@V?$allocator@U?$pair@$$CBVAsciiString@@W4BuildableStatus@@@_STL@@@2@@_STL@@QAEPAU?$_Hashtable_node@U?$pair@$$CBVAsciiString@@W4BuildableStatus@@@_STL@@@2@XZ,gamelogic.cpp,65,0x007A5180,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?_M_skip_to_next@?$_Hashtable_iterator@U?$pair@$$CBVAsciiString@@PBVCommandButton@@@_STL@@VAsciiString@@U?$hash@VAsciiString@@@rts@@U?$_Select1st@U?$pair@$$CBVAsciiString@@PBVCommandButton@@@_STL@@@2@U?$equal_to@VAsciiString@@@5@V?$allocator@U?$pair@$$CBVAsciiString@@PBVCommandButton@@@_STL@@@2@@_STL@@QAEPAU?$_Hashtable_node@U?$pair@$$CBVAsciiString@@PBVCommandButton@@@_STL@@@2@XZ,gamelogic.cpp,65,0x007A5180,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?_M_fill_insert@?$vector@PAVObject@@V?$allocator@PAVObject@@@_STL@@@_STL@@QAEXPAPAVObject@@IABQAV3@@Z,gamelogic.cpp,282,0x00754260,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,15
??A?$map@HIU?$less@H@_STL@@V?$allocator@U?$pair@$$CBHI@_STL@@@2@@_STL@@QAEAAIABH@Z,gamelogicdispatch.cpp,115,0x00654E90,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,6
??0?$_Deque_base@VGameResultsRequest@@V?$allocator@VGameResultsRequest@@@_STL@@@_STL@@QAE@ABV?$allocator@VGameResultsRequest@@@1@I@Z,gameresultsthread.cpp,76,0x009ED980,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??0?$_Deque_base@VGameResultsResponse@@V?$allocator@VGameResultsResponse@@@_STL@@@_STL@@QAE@ABV?$allocator@VGameResultsResponse@@@1@I@Z,gameresultsthread.cpp,76,0x009ED980,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?winSetFocus@GameWindowManager@@UAEHPAVGameWindow@@@Z,gamewindowmanager.cpp,172,0x0047CA80,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,10
?winProcessKey@GameWindowManager@@UAE?AW4WinInputReturnCode@@EE@Z,gamewindowmanager.cpp,103,0x0047CB60,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,8
?parseColor@@YA_NPAHPAD@Z,gamewindowmanagerscript.cpp,115,0x00484610,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,6
??A?$map@W4NameKeyType@@PAVLocomotorTemplate@@U?$less@W4NameKeyType@@@_STL@@V?$allocator@U?$pair@$$CBW4NameKeyType@@PAVLocomotorTemplate@@@_STL@@@4@@_STL@@QAEAAPAVLocomotorTemplate@@ABW4NameKeyType@@@Z,locomotor.cpp,115,0x00654E90,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,6
??0?$DynamicVectorClass@PAVTextureClass@@@@QAE@IPBQAVTextureClass@@@Z,matinfo.cpp,93,0x00981380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??0?$DynamicVectorClass@PAULegacyMaterialClass@MeshLoadContextClass@@@@QAE@IPBQAULegacyMaterialClass@MeshLoadContextClass@@@Z,meshmdlio.cpp,93,0x00981380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??0?$DynamicVectorClass@K@@QAE@IPBK@Z,meshmdlio.cpp,93,0x00981380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
?erase@?$vector@UFXBoneInfo@@V?$allocator@UFXBoneInfo@@@_STL@@@_STL@@QAEPAUFXBoneInfo@@PAU3@0@Z,modulefactory.cpp,76,0x00380980,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?getSingleBitFromName@?$BitFlags@$0N@@@SAHPBD@Z,object.cpp,71,0x0020E380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,6
?getSingleBitFromName@?$BitFlags@$0CN@@@SAHPBD@Z,object.cpp,71,0x0020E380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,6
?getSingleBitFromName@?$BitFlags@$0BB@@@SAHPBD@Z,object.cpp,71,0x0020E380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,6
?getSingleBitFromName@?$BitFlags@$0ED@@@SAHPBD@Z,object.cpp,71,0x0020E380,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,6
??0?$pair@$$CBW4NameKeyType@@VObjectCreationList@@@_STL@@QAE@ABU01@@Z,objectcreationlist.cpp,90,0x00261440,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?erase@?$vector@UPayload@DeliverPayloadNugget@@V?$allocator@UPayload@DeliverPayloadNugget@@@_STL@@@_STL@@QAEPAUPayload@DeliverPayloadNugget@@PAU34@0@Z,objectcreationlist.cpp,76,0x00380980,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??0?$pair@$$CBW4NameKeyType@@VObjectCreationList@@@_STL@@QAE@ABW4NameKeyType@@ABVObjectCreationList@@@Z,objectcreationlist.cpp,92,0x001D7810,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?push_back@?$vector@UPayload@DeliverPayloadNugget@@V?$allocator@UPayload@DeliverPayloadNugget@@@_STL@@@_STL@@QAEXABUPayload@DeliverPayloadNugget@@@Z,objectcreationlist.cpp,62,0x00774200,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?push_back@?$vector@UAnimSet@GenericObjectCreationNugget@@V?$allocator@UAnimSet@GenericObjectCreationNugget@@@_STL@@@_STL@@QAEXABUAnimSet@GenericObjectCreationNugget@@@Z,objectcreationlist.cpp,62,0x00755F10,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
?_M_skip_to_next@?$_Hashtable_iterator@U?$pair@$$CBVAsciiString@@PAVParticleSystemTemplate@@@_STL@@VAsciiString@@U?$hash@VAsciiString@@@rts@@U?$_Select1st@U?$pair@$$CBVAsciiString@@PAVParticleSystemTemplate@@@_STL@@@2@U?$equal_to@VAsciiString@@@5@V?$allocator@U?$pair@$$CBVAsciiString@@PAVParticleSystemTemplate@@@_STL@@@2@@_STL@@QAEPAU?$_Hashtable_node@U?$pair@$$CBVAsciiString@@PAVParticleSystemTemplate@@@_STL@@@2@XZ,particlesys.cpp,65,0x007A5180,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??0?$_Deque_base@PAVSightingInfo@@V?$allocator@PAVSightingInfo@@@_STL@@@_STL@@QAE@ABV?$allocator@PAVSightingInfo@@@1@I@Z,partitionmanager.cpp,76,0x009ED980,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??0?$_Deque_base@PAVPartitionCell@@V?$allocator@PAVPartitionCell@@@_STL@@@_STL@@QAE@ABV?$allocator@PAVPartitionCell@@@1@I@Z,partitionmanager.cpp,76,0x009ED980,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??$__copy@PAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@_STL@@PAV12@H@_STL@@YAPAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@0@PAV10@00ABUrandom_access_iterator_tag@0@PAH@Z,partitionmanager.cpp,68,0x003B5F40,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,6
