family,bytes,bodies,rva,size,name,shared_features
1,125257,49,0x0091cbf0,261,?d_0091cbf0@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x00940610,342,?d_00940610@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x006c90b0,351,?d_006c90b0@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x0071b1f0,384,?d_0071b1f0@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x007d47a0,583,?d_007d47a0@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x007d62f0,583,?d_007d62f0@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x007d7610,606,?d_007d7610@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x007d81c0,606,?d_007d81c0@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x007d9240,606,?d_007d9240@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x007dc6a0,606,?d_007dc6a0@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
1,125257,49,0x007c4660,625,?d_007c4660@@YAXXZ,data 0x134ecc8 (?g_bfmeCh1035@@3DA); data 0x133f451; call ?BoxSetTexture@@YAXIAAPAVTextureBaseClass@@@Z @0x905ac0; call ?Apply_Render_State_Changes@DX8Wrapper@@SAXXZ @0x904890
