size,rva,symbol,status,cited_addrs
679,0x7423b0,?setCameraTransform@W3DView@@AAEXXZ,partial,1
535,0x627fa0,?GameSpyOpenOverlay@@YAXW4GSOverlayType@@@Z,blocked,3
521,0x723fb0,?d_00723fb0@@YAXXZ,blocked,8
514,0x357d30,?duplicate@Condition@@QBEPAV1@XZ,blocked,5
453,0x92fd60,??0MaterialRemapperClass@@QAE@PAVMaterialInfoClass@@0@Z,blocked,3
453,0x2cb740,?computeApproachPosition@DockUpdate@@IAE?AUCoord3D@@HPAVObject@@@Z,blocked,1
445,0x7171f0,?startRenderToTexture@W3DShaderManager@@SAXXZ,blocked,14
376,0x458c80,?createRadiusDecal@RadiusDecalTemplate@@QBEXABUCoord3D@@MPBVPlayer@@AA,blocked,2
338,0x4d4fc0,??$append@PBG@?$basic_string@GV?$char_traits@G@_STL@@V?$allocator@G@2@,blocked,2
332,0xd22a0,?d_000d22a0@@YAXXZ,blocked,2
329,0x38d870,?friend_awakenUpdateModule@GameLogic@@QAEXPAVObject@@PAVUpdateModule@@,blocked,4
324,0x74c4f0,?d_0074c4f0@@YAXXZ,blocked,2
315,0x3631d0,?d_003631d0@@YAXXZ,partial,3
309,0x90e910,?BFMEGetWaterTrackTexture@@YA?AVBFMEWaterTrackTextureHandle@@PADHH@Z,blocked,1
304,0x3c1c50,?d_003c1c50@@YAXXZ,blocked,2
272,0x6d9f50,?loadBridgesInVertexAndIndexBuffers@W3DBridgeBuffer@@IAEXPAV?$RefMulti,blocked,4
260,0x833c80,?d_00833c80@@YAXXZ,blocked,3
241,0x2551f0,?isDieApplicable@DieMuxData@@QBE_NPBVObject@@PBVDamageInfo@@@Z,blocked,2
239,0x724240,?d_00724240@@YAXXZ,blocked,4
217,0x23c4d0,?bfmeAllMembersReady@BfmeHordeContainPoll@@QAE_NXZ,partial,1
210,0x6c1280,?d_006c1280@@YAXXZ,blocked,1
206,0x391b30,?findControlBarOverride@GameLogic@@QBE_NABVAsciiString@@HAAPBVCommandB,partial,1
205,0x56c210,?finishState14@Rva56E070StateOwner@@QAEXXZ,blocked,1
203,0x490790,??0BfmeA1200@@QAE@XZ,blocked,1
184,0x723b60,?d_00723b60@@YAXXZ,partial,2
178,0x374f20,?d_00374f20@@YAXXZ,blocked,1
176,0xf8c20,?onTunnelDestroyed@TunnelTracker@@QAEXPBVObject@@@Z,blocked,3
173,0x8a47b0,?d_008a47b0@@YAXXZ,blocked,4
171,0x39e780,?d_0039e780@@YAXXZ,blocked,2
160,0x723d80,?d_00723d80@@YAXXZ,partial,1
159,0x29d210,?removeEntry@ProductionUpdate@@AAEXPAVProductionEntry@@@Z,blocked,1
153,0x35bc20,??1ScriptList@@QAE@XZ,partial,1
151,0x323650,?bfmeGo1093B@@YGDPAUBfmeC1093@@HPAUBfmeT1093@@@Z,blocked,2
150,0x1ca9c0,?d_001ca9c0@@YAXXZ,partial,7
149,0x259cd0,bfmeGo1265,blocked,2
144,0x91daa0,?_Deinit@DynamicVBAccessClass@@SAXXZ,partial,1
141,0x21b960,?bfmeGo1118A@BfmeW1118@@QAEXXZ,blocked,1
128,0x93b2c0,?Clone@CollectionClass@@UBEPAVRenderObjClass@@XZ,blocked,3
124,0x723c50,?d_00723c50@@YAXXZ,partial,2
121,0x455ec0,??$__partial_sort@PAHHUQ4Sort004567A0@@@_STL@@YAXPAH000UQ4Sort004567A0,blocked,7
118,0x251ed0,?parse@TransitionDamageFXModuleDataParseFXListShim@@SAXPAVINI@@PAX1PBX,blocked,6
116,0x86f740,?d_0086f740@@YAXXZ,partial,2
108,0x723cf0,?d_00723cf0@@YAXXZ,partial,2
108,0x3d36e0,?bfmeGo1116A@BfmeW1116@@QAEXPAUBfmeV1116@@@Z,blocked,1
107,0x785fd0,?d_00785fd0@@YAXXZ,blocked,2
107,0x187270,??1AIStateMachine@@MAE@XZ,blocked,5
101,0x8cbb80,?d_008cbb80@@YAXXZ,blocked,1
98,0x467460,?hideAptWindow@WindowManager@@QAE_NH@Z,partial,1
90,0x4b24f0,?bfmeGo1080A@@YAHXZ,blocked,1
86,0x565100,?bfmeGo1065A@@YAXXZ,blocked,1
85,0x51d690,?d_0051d690@@YAXXZ,blocked,6
84,0x2e38e0,?d_002e38e0@@YAXXZ,partial,1
80,0x61380,?d_00061380@@YAXXZ,blocked,1
77,0x52ae20,?d_0052ae20@@YAXXZ,blocked,4
76,0xe9540,?bfmeGo1109B@BfmeW1109@@QAEHH@Z,blocked,1
59,0x7a2330,?d_007a2330@@YAXXZ,blocked,1
53,0xd07a0,?d_000d07a0@@YAXXZ,blocked,9
48,0x84ef00,?d_0084ef00@@YAXXZ,partial,1
48,0x84eed0,?d_0084eed0@@YAXXZ,partial,1
46,0x7f6a80,?d_007f6a80@@YAXXZ,partial,1
45,0xc1500,?d_000C1500@@YAHHHHHH@Z,blocked,1
42,0x2f1150,?d_002F1150@@YGXD@Z,blocked,1
40,0x662230,?d_00662230@@YAXXZ,partial,1
36,0x9588e0,?d_009588e0@@YAXXZ,partial,1
35,0x86c370,?d_0086c370@@YAXXZ,partial,1
32,0x18cf90,?d_0018cf90@@YAXXZ,partial,1
28,0x9acb60,?d_009acb60@@YAXXZ,blocked,1
27,0x1a2d50,?d_001a2d50@@YAXXZ,partial,1
25,0x233ec0,?d_00233ec0@@YAXXZ,partial,1
23,0x661730,?d_00661730@@YAXXZ,partial,1
22,0x6bd6c0,?d_006bd6c0@@YAXXZ,partial,1
20,0x6f8700,?d_006f8700@@YAXXZ,blocked,3
