rva,size,confidence,evidence
0x00113B,5,low,abut;flowend
0x001BA9,5,low,abut;flowend
0x00579F,5,low,abut;flowend
0x006555,5,low,abut;flowend
0x00A097,5,low,abut;flowend
0x00FB23,5,low,abut;flowend
0x0101CC,5,low,abut;flowend
0x01418C,5,low,abut;flowend
0x014C46,1,low,abut
0x014C47,3,low,rdata
0x0153CA,5,low,abut;flowend
0x0198D5,5,low,abut;flowend
0x01B3C4,5,low,abut;flowend
0x01B4AA,5,low,abut;rdata;flowend
0x01C41D,5,low,abut;flowend
0x01D985,5,low,abut;flowend
0x01F717,5,low,abut;flowend
0x0219D6,5,low,abut;flowend
0x023DD5,5,low,abut;rdata;flowend
0x028042,5,low,abut;flowend
0x02A22F,5,low,abut;flowend
0x02A3AB,5,low,abut;flowend
0x02B29C,5,low,abut;flowend
0x02B2E7,5,low,abut;flowend
0x02C3D6,5,low,abut;flowend
0x02F5B3,5,low,abut;flowend
0x0331D6,5,low,abut;flowend
0x034658,5,low,abut;rdata;flowend
0x035B6B,5,low,abut;flowend
0x035FF8,5,low,abut;flowend
0x036494,5,low,abut;flowend
0x036F11,5,low,abut;rdata;flowend
0x03B2C8,5,low,abut;flowend
0x03BAD4,5,low,abut;flowend
0x03C178,5,low,abut;flowend
0x03DBBD,5,low,abut;flowend
0x03EBE4,5,low,abut;rdata;flowend
0x041010,5,low,abut;flowend
0x045D77,5,low,abut;rdata;flowend
0x0464E8,5,low,abut;flowend
0x049431,5,low,abut;flowend
0x05B6C0,6,high,pad16;jmp;flowend
0x05B6D0,6,high,pad10;jmp;flowend
0x05B746,2,low,abut
0x05B748,29,medium,jmp;flowend
0x05B790,6,high,pad16;jmp;flowend
0x05B880,6,high,pad16;jmp;flowend
0x05B890,60,high,pad10;jmp;prologue;flowend
0x05BA30,11,high,pad16;jmp;flowend
0x05BAC0,32,high,pad16;jmp;flowend
0x05BAF0,11,high,pad16;jmp;flowend
0x05BB00,11,high,pad5;jmp;flowend
0x05BB10,11,high,pad5;jmp;flowend
0x05BB20,9,high,pad5;jmp;flowend
0x05BB30,19,high,pad7;jmp;flowend
0x05BB50,9,high,pad13;jmp;flowend
0x05BB60,9,high,pad7;jmp;flowend
0x05BB70,19,high,pad7;jmp;flowend
0x05BBA0,11,high,pad6;jmp;flowend
0x05BBB0,22,high,pad5;jmp;flowend
0x05BBD0,11,high,pad10;jmp;flowend
0x05BBE0,20,high,pad5;jmp;flowend
0x05BC00,16,high,pad12;jmp;flowend
0x05BC50,40,high,pad15;jmp;flowend
0x05BC90,40,high,pad16;jmp;flowend
0x05BCD0,32,high,pad16;jmp;flowend
0x05BD00,40,high,pad16;jmp;flowend
0x05BD40,39,high,pad16;jmp;flowend
0x05BDA0,11,high,pad15;jmp;flowend
0x05BDB0,10,high,pad5;jmp;flowend
0x05BEB0,49,high,pad16;jmp;flowend
0x05BEF0,34,high,pad15;jmp;flowend
0x05BF20,25,high,pad14;jmp;flowend
0x05C020,65,high,pad16;jmp;prologue;flowend
0x05C110,90,high,pad16;jmp;flowend
0x05C180,4,high,pad16;jmp;flowend
0x05C190,37,high,pad12;jmp;flowend
0x05C1C0,4,high,pad11;jmp;flowend
0x05C210,4,high,pad15;jmp;flowend
0x05C220,4,high,pad12;jmp;flowend
0x05C230,4,high,pad12;jmp;flowend
0x05C450,10,high,pad16;jmp;flowend
0x05C460,7,high,pad6;jmp;flowend
0x05C470,13,high,pad9;jmp;flowend
0x05C480,30,medium,pad3;jmp;flowend
0x05C5C0,7,high,pad16;jmp;flowend
0x05C650,9,high,pad4;jmp;flowend
0x05C690,9,high,pad11;jmp;flowend
0x05C6A0,3,high,pad7;jmp;flowend
0x05C800,31,high,pad11;jmp;flowend
0x05C830,83,high,pad16;jmp;prologue;flowend
0x05CBC0,4,high,pad13;jmp;flowend
0x05CDC3,23,low,abut;flowend
0x05D1CC,6,low,abut
0x05D220,46,low,abut;flowend
0x05D5A0,1,high,pad16;jmp;flowend
0x05D5B0,88,medium,pad15;flowend
0x05D6D0,47,high,pad16;jmp;prologue;flowend
0x05D7D0,3,high,pad14;jmp;flowend
0x05D7E0,18,high,pad13;jmp;flowend
0x05D800,3,high,pad14;jmp;flowend
0x05DB90,20,high,pad16;jmp;flowend
0x05DC10,4,high,pad8;jmp;flowend
0x05DC20,4,high,pad12;jmp;flowend
0x05DC30,50,high,pad12;jmp;flowend
0x05DCD0,64,high,pad16;jmp;flowend
0x05DE20,71,high,pad16;jmp;flowend
0x05DF80,71,high,pad16;jmp;flowend
0x05DFE0,71,high,pad16;jmp;flowend
0x05E070,57,high,pad11;jmp;flowend
0x05E0C0,54,high,pad16;jmp;flowend
0x05E140,20,high,pad16;jmp;flowend
0x05E160,48,high,pad12;jmp;flowend
0x05E1A0,41,high,pad16;jmp;flowend
0x05E200,35,high,pad16;jmp;flowend
0x05E790,25,high,pad13;jmp;flowend
0x05EB60,71,high,pad16;jmp;flowend
0x05EBC0,71,high,pad16;jmp;flowend
0x05EEB0,35,high,pad11;jmp;flowend
0x05F1A0,87,high,pad16;jmp;prologue;flowend
0x05F880,71,high,pad16;jmp;flowend
0x05FA00,71,high,pad16;jmp;flowend
0x05FA90,32,high,pad16;jmp;flowend
0x060617,5,low,abut;flowend
0x0607C0,4,high,pad12;jmp;flowend
0x060820,20,high,pad11;jmp;flowend
0x060840,10,high,pad12;jmp;flowend
0x060850,25,high,pad6;jmp;flowend
0x060870,6,high,pad7;jmp;flowend
0x0608C0,20,high,pad16;jmp;flowend
0x0608E0,22,high,pad12;jmp;flowend
0x060900,6,high,pad10;jmp;flowend
0x060910,65,high,pad10;jmp;flowend
0x060980,13,high,pad5;jmp;flowend
0x060990,11,medium,pad3;jmp;flowend
0x0609A0,19,high,pad5;jmp;flowend
0x0609E0,22,high,pad13;jmp;flowend
0x060A00,29,high,pad10;jmp;flowend
0x060A60,97,high,pad13;jmp;flowend
0x060AE0,22,high,pad16;jmp;flowend
0x060B00,22,high,pad10;jmp;flowend
0x060B20,19,high,pad10;jmp;flowend
0x060B90,28,high,pad16;jmp;flowend
0x060BC0,53,high,pad16;jmp;flowend
0x060C10,53,high,pad16;jmp;flowend
0x060C60,51,high,pad16;jmp;flowend
0x060CA0,34,high,pad13;jmp;flowend
0x060CD0,39,high,pad14;jmp;flowend
0x060D00,44,high,pad9;jmp;flowend
0x060D40,43,high,pad16;jmp;flowend
0x060D80,22,high,pad16;jmp;flowend
0x060DA0,22,high,pad10;jmp;flowend
0x060DC0,22,high,pad10;jmp;flowend
0x060DE0,22,high,pad10;jmp;flowend
0x060E00,22,high,pad10;jmp;flowend
0x060E20,22,high,pad10;jmp;flowend
0x060E40,22,high,pad10;jmp;flowend
0x060E60,22,high,pad10;jmp;flowend
0x060E80,22,high,pad10;jmp;flowend
0x060EA0,22,high,pad10;jmp;flowend
0x060EC0,22,high,pad10;jmp;flowend
0x060EE0,51,high,pad10;jmp;flowend
0x060F20,22,high,pad13;jmp;flowend
0x060F40,51,high,pad10;jmp;flowend
0x060F80,22,high,pad13;jmp;flowend
0x060FA0,51,high,pad10;jmp;flowend
0x060FE0,22,high,pad13;jmp;flowend
0x061000,25,high,pad10;jmp;flowend
0x061020,31,high,pad7;jmp;flowend
0x061070,73,high,pad13;jmp;flowend
0x0610D0,22,high,pad16;jmp;flowend
0x0610F0,22,high,pad10;jmp;flowend
0x061110,41,high,pad10;jmp;flowend
0x061150,11,high,pad16;jmp;flowend
0x061160,22,high,pad5;jmp;flowend
0x061180,18,high,pad10;jmp;flowend
0x0611A0,18,high,pad14;jmp;flowend
0x0611C0,21,high,pad14;jmp;flowend
0x0611E0,21,high,pad11;jmp;flowend
0x061200,21,high,pad11;jmp;flowend
0x061220,21,high,pad11;jmp;flowend
0x061240,21,high,pad11;jmp;flowend
0x061260,58,high,pad11;jmp;flowend
0x0612B0,58,high,pad16;jmp;flowend
0x061300,97,high,pad16;jmp;flowend
0x061380,80,high,pad16;jmp;flowend
0x0613F0,44,high,pad16;jmp;flowend
0x061430,29,high,pad16;jmp;flowend
0x061460,11,high,pad16;jmp;flowend
0x061470,21,high,pad5;jmp;flowend
0x061490,58,high,pad11;jmp;flowend
0x0614E0,6,high,pad16;jmp;flowend
0x0614F0,25,high,pad10;jmp;flowend
0x061510,25,high,pad7;jmp;flowend
0x061530,25,high,pad7;jmp;flowend
0x061550,6,high,pad7;jmp;flowend
0x061560,22,high,pad10;jmp;flowend
0x061580,18,high,pad10;jmp;flowend
0x0615A0,18,high,pad14;jmp;flowend
0x0615C0,18,high,pad14;jmp;flowend
0x0615E0,11,high,pad14;jmp;flowend
0x0615F0,18,high,pad5;jmp;flowend
0x061610,6,high,pad14;jmp;flowend
0x061620,8,high,pad10;jmp;flowend
0x061630,4,high,pad8;jmp;flowend
0x061680,9,high,pad12;jmp;flowend
0x061690,23,high,pad7;jmp;flowend
0x0616B0,4,high,pad9;jmp;flowend
0x0616D0,29,low,pad10;jmp
0x061700,3,high,pad16;jmp;flowend
0x061AE0,18,high,pad16;jmp;flowend
0x061B00,16,high,pad14;jmp;flowend
0x061B20,16,high,pad16;jmp;flowend
0x061B40,21,high,pad16;jmp;flowend
0x061B90,6,high,pad11;jmp;flowend
0x061BA0,8,high,pad10;jmp;flowend
0x061BB0,25,high,pad8;jmp;flowend
0x061BD0,10,high,pad7;jmp;flowend
0x061BE0,8,high,pad6;jmp;flowend
0x061C90,13,high,pad16;jmp;flowend
0x061CA0,6,medium,pad3;jmp;flowend
0x061CB0,7,high,pad10;jmp;flowend
0x061CC0,3,high,pad9;jmp;flowend
0x061CD0,11,high,pad13;jmp;flowend
0x061D40,6,high,pad14;jmp;flowend
0x061D50,8,high,pad10;jmp;flowend
0x061D60,8,high,pad8;jmp;flowend
0x061D70,8,high,pad8;jmp;flowend
0x061D80,7,high,pad8;jmp;flowend
0x061DC0,8,high,pad15;jmp;flowend
0x061DD0,8,high,pad8;jmp;flowend
0x061DE0,11,high,pad8;jmp;flowend
0x061EB0,8,high,pad14;jmp;flowend
0x061EC0,46,high,pad8;jmp;flowend
0x062090,18,high,pad16;jmp;flowend
0x062150,41,high,pad16;jmp;prologue;flowend
0x062190,14,high,pad16;jmp;flowend
0x0621B0,22,high,pad16;jmp;flowend
0x0621D0,49,high,pad10;jmp;flowend
0x062210,27,high,pad15;jmp;prologue;flowend
0x062280,7,high,pad11;jmp;flowend
0x062290,28,high,pad9;jmp;flowend
0x0622C0,47,high,pad16;jmp;flowend
0x062300,10,high,pad16;jmp;flowend
0x062310,11,high,pad6;jmp;flowend
0x062320,8,high,pad5;jmp;flowend
0x062330,151,high,pad8;jmp;flowend
0x0623F0,151,high,pad16;jmp;flowend
0x0624B0,41,high,pad16;jmp;flowend
0x0624F0,478,high,pad16;jmp;flowend
0x062750,120,high,pad16;jmp;prologue;flowend
0x0627F0,72,high,pad16;jmp;flowend
0x062850,15,high,pad16;jmp;flowend
0x062870,47,high,pad16;jmp;flowend
0x062970,9,high,pad16;jmp;flowend
0x0629C0,11,high,pad14;jmp;flowend
0x062C50,60,high,pad16;jmp;flowend
0x062CA0,73,high,pad16;jmp;flowend
0x062D00,79,high,pad16;jmp;flowend
0x062D70,15,high,pad16;jmp;flowend
0x062E70,33,high,pad16;jmp;prologue;flowend
0x062F70,33,high,pad16;jmp;prologue;flowend
0x063120,17,high,pad16;jmp;flowend
0x0633C0,21,high,pad16;jmp;flowend
0x063850,24,high,pad16;jmp;flowend
0x063870,31,high,pad8;jmp;flowend
0x0638A0,21,high,pad16;jmp;flowend
0x063910,53,high,pad16;jmp;flowend
0x063B00,28,high,pad16;jmp;flowend
0x063B30,39,high,pad16;jmp;prologue;flowend
0x063B60,45,high,pad9;jmp;flowend
0x063D74,6,low,abut
0x063DF0,4,high,pad16;jmp;flowend
0x063E00,4,high,pad12;jmp;flowend
0x063E30,10,high,pad9;jmp;flowend
0x063E40,10,high,pad6;jmp;flowend
0x063E50,17,high,pad6;jmp;flowend
0x064020,31,medium,pad16;flowend
0x064050,65,high,pad16;jmp;prologue;flowend
0x0640B0,67,high,pad16;jmp;prologue;flowend
0x064120,6,high,pad13;jmp;flowend
0x064130,6,high,pad10;jmp;flowend
0x0641B0,11,high,pad16;jmp;flowend
0x0641C0,4,high,pad5;jmp;flowend
