table_rva,ini_key,bfme_offset,upstream_class,upstream_member,votes,margin,notes
0x00c753d0,Position,0x0,,,1,0,ambiguous: ControlBarSchemeImage::m_position|ShellMenuSchemeImage::m_position
0x00c753d0,Angle,0xc,BuildListInfo,m_angle,1,0,sole candidate; table vote decided nothing
0x00c753d0,Time,0x18,,,1,0,no upstream key
0x00c753d0,EaseIn,0x10,,,1,0,no upstream key
0x00c753d0,EaseOut,0x14,,,1,0,no upstream key
0x00c757c0,AmountForMajorFX,0x0,,,0,0,no upstream key
0x00c757c0,MajorFX,0x0,,,0,0,no upstream key
0x00c757c0,MinorFX,0x0,,,0,0,no upstream key
0x00c757c0,ThrottleTime,0x0,,,0,0,no upstream key
0x00c757c0,VeterancyAmountForMajorFX,0x0,,,0,0,no upstream key
0x00c757c0,VeterancyMajorFX,0x0,,,0,0,no upstream key
0x00c757c0,VeterancyMinorFX,0x0,,,0,0,no upstream key
0x00c757c0,VeterancyThrottleTime,0x0,,,0,0,no upstream key
0x00c76760,MaxParticleCount,0x0,StaticGameLODInfo,m_maxParticleCount,12,6,vote picked from GlobalData::m_maxParticleCount
0x00c76760,UseShadowVolumes,0x4,StaticGameLODInfo,m_useShadowVolumes,12,6,vote picked from GlobalData::m_useShadowVolumes
0x00c76760,UseShadowDecals,0x5,StaticGameLODInfo,m_useShadowDecals,12,6,vote picked from GlobalData::m_useShadowDecals
0x00c76760,UseAnisotropic,0x6,,,12,6,no upstream key
0x00c76760,UsePixelShaders,0x7,,,12,6,no upstream key
0x00c76760,UseLightMap,0x8,StaticGameLODInfo,m_useLightMap,12,6,vote picked from GlobalData::m_useLightMap
0x00c76760,ShowSoftWaterEdge,0x9,StaticGameLODInfo,m_showSoftWaterEdge,12,6,vote picked from GlobalData::m_showSoftWaterEdge
0x00c76760,MaxTankTrackEdges,0xc,StaticGameLODInfo,m_maxTankTrackEdges,12,6,
0x00c76760,MaxTankTrackOpaqueEdges,0x10,StaticGameLODInfo,m_maxTankTrackOpaqueEdges,12,6,
0x00c76760,MaxTankTrackFadeDelay,0x14,StaticGameLODInfo,m_maxTankTrackFadeDelay,12,6,
0x00c76760,UseBuildupScaffolds,0x18,StaticGameLODInfo,m_useBuildupScaffolds,12,6,
0x00c76760,UseTreeSway,0x19,StaticGameLODInfo,m_useTreeSway,12,6,
0x00c76760,GrassDrawSkip,0x1a,,,12,6,no upstream key
0x00c76760,ShowProps,0x22,,,12,6,no upstream key
0x00c76760,TextureReductionFactor,0x1c,StaticGameLODInfo,m_textureReduction,12,6,vote picked from GlobalData::m_textureReductionFactor
0x00c76760,UseHighQualityVideo,0x23,,,12,6,no upstream key
0x00c76760,AnimationDetail,0x24,,,12,6,no upstream key
0x00c76760,MinParticlePriority,0x28,DynamicGameLODInfo,m_minDynamicParticlePriority,12,6,sole candidate; table votes StaticGameLODInfo
0x00c76760,MinParticleSkipPriority,0x2c,DynamicGameLODInfo,m_minDynamicParticleSkipPriority,12,6,sole candidate; table votes StaticGameLODInfo
0x00c76760,MinimumFPS,0x0,StaticGameLODInfo,m_minFPS,12,6,vote picked from DynamicGameLODInfo::m_minFPS
0x00c76760,ParticleSkipMask,0x4,DynamicGameLODInfo,m_dynamicParticleSkipMask,12,6,sole candidate; table votes StaticGameLODInfo
0x00c76760,DebrisSkipMask,0x8,DynamicGameLODInfo,m_dynamicDebrisSkipMask,12,6,sole candidate; table votes StaticGameLODInfo
0x00c76760,SlowDeathScale,0xc,DynamicGameLODInfo,m_slowDeathScale,12,6,sole candidate; table votes StaticGameLODInfo
0x00c76760,MaximumAmbientStreams,0x0,,,12,6,no upstream key
0x00c76760,AllowDolby,0x4,,,12,6,no upstream key
0x00c76760,AllowReverb,0x5,,,12,6,no upstream key
0x00c77018,Windowed,0x29,GlobalData,m_windowed,321,314,
0x00c77018,XResolution,0x2c,GlobalData,m_xResolution,321,314,
0x00c77018,YResolution,0x30,GlobalData,m_yResolution,321,314,
0x00c77018,MapName,0x8,GlobalData,m_mapName,321,314,
0x00c77018,MoveHintName,0xc,GlobalData,m_moveHintName,321,314,
0x00c77018,GenericDamageFieldName,0x10,,,321,314,no upstream key
0x00c77018,GenericDamageWarningName,0x14,,,321,314,no upstream key
0x00c77018,ShowProps,0x18,,,321,314,no upstream key
0x00c77018,UseFPSLimit,0x1e,GlobalData,m_useFpsLimit,321,314,
0x00c77018,PushAsideShrubs,0x19,,,321,314,no upstream key
0x00c77018,UseHighQualityVideo,0x1f,,,321,314,no upstream key
0x00c77018,DumpAssetUsage,0x20,GlobalData,m_dumpAssetUsage,321,314,
0x00c77018,FramesPerSecondLimit,0x24,GlobalData,m_framesPerSecondLimit,321,314,
0x00c77018,DisablePixelShader,0x28,,,321,314,no upstream key
0x00c77018,MaxShellScreens,0x34,GlobalData,m_maxShellScreens,321,314,
0x00c77018,UseCloudMap,0x38,GlobalData,m_useCloudMap,321,314,vote picked from StaticGameLODInfo::m_useCloudMap
0x00c77018,ShowWater,0x39,,,321,314,no upstream key
0x00c77018,ShowRoads,0x3a,,,321,314,no upstream key
0x00c77018,ShowTrees,0x3b,,,321,314,no upstream key
0x00c77018,UseLightMap,0x44,GlobalData,m_useLightMap,321,314,vote picked from StaticGameLODInfo::m_useLightMap
0x00c77018,BilinearTerrainTex,0x45,GlobalData,m_bilinearTerrainTex,321,314,
0x00c77018,TrilinearTerrainTex,0x46,GlobalData,m_trilinearTerrainTex,321,314,
0x00c77018,AnisotropicTerrainTex,0x47,,,321,314,no upstream key
0x00c77018,MultiPassTerrain,0x4c,GlobalData,m_multiPassTerrain,321,314,
0x00c77018,AdjustCliffTextures,0x4d,GlobalData,m_adjustCliffTextures,321,314,
0x00c77018,Use3WayTerrainBlends,0x40,GlobalData,m_use3WayTerrainBlends,321,314,
0x00c77018,StretchTerrain,0x4e,GlobalData,m_stretchTerrain,321,314,
0x00c77018,UseHalfHeightMap,0x4f,GlobalData,m_useHalfHeightMap,321,314,
0x00c77018,UserDataLeafName,0x1288,GlobalData,m_userDataLeafName,321,314,
0x00c77018,UseReverseMouseScroll,0x3c,,,321,314,no upstream key
