kind,address,expected,note
vslot,0x0111A968+0x00,0x00682770,BFMENativeNetwork scalar deleting dtor ??_GNetwork
vslot,0x0111A968+0x04,0x00681E40,Network::init
vslot,0x0111A968+0x10,0x00681910,Network::reset (jmp [vt+4])
vslot,0x0111A968+0x24,0x00681930,Network::liteupdate
vslot,0x0111A968+0x28,0x00682C70,Network::update
vslot,0x0111A968+0x2C,0x00681960,Network::parseUserList
vslot,0x0111A968+0x30,0x00681980,Network::setLocalAddress
vslot,0x0111A968+0x38,0x006819B0,Network::initTransport
vslot,0x0111A968+0x44,0x006819E0,_bfme_getFrameHeadroom
vslot,0x0111A968+0x48,0x00681A00,_bfme_isLocalPlayerInGame
vslot,0x0111A968+0x4C,0x00682310,_bfme_sendFrameInfo
vslot,0x0111A968+0x50,0x00682440,Network::sendChat
vslot,0x0111A968+0x58,0x00682540,Network::sendFile
vslot,0x0111A968+0x5C,0x006825C0,Network::sendFileAnnounce
vslot,0x0111A968+0x64,0x00681A10,Network::areAllQueuesEmpty
vslot,0x0111A968+0x68,0x00681A20,_bfme_setFileTransferMode
vslot,0x0111A968+0x6C,0x00681A40,_bfme_clearFileTransferMode
vslot,0x0111A968+0x74,0x00681A80,Network::loadProgressComplete
vslot,0x0111A968+0x78,0x006822E0,Network::quitGame
vslot,0x0111A968+0x7C,0x00682270,Network::voteForPlayerDisconnect
vslot,0x0111A968+0x84,0x00681AC0,Network::getPingsSent
vslot,0x0111A968+0x88,0x00681AF0,Network::getPingsRecieved
vslot,0x0111A968+0x90,0x00681B40,_bfme_getPacketRouterSlot
vslot,0x0111A968+0x94,0x00681B60,Network::getNumPlayers
vslot,0x0111A968+0x98,0x00681B80,Network::getLocalPlayerID
vslot,0x0111A968+0xA0,0x00681BC0,_bfme_isInUpdate (reads +0x35)
vslot,0x0111A968+0xA4,0x00681BA0,slot 41 sets +0x35=1 (ledgered setSawCRCMismatch)
vslot,0x0111A968+0xA8,0x00681BB0,slot 42 sets +0x35=0 (ledgered _bfme_clearSawCRCMismatch)
vslot,0x0111A968+0xB0,0x00681BE0,_bfme_isWaitingForPlayers
vslot,0x0111A968+0xB4,0x00681C10,Network::getIncomingBytesPerSecond
vslot,0x0111A968+0xBC,0x00681C70,Network::getOutgoingBytesPerSecond
vslot,0x0111A968+0xC0,0x00681CA0,Network::getOutgoingPacketsPerSecond
vslot,0x0111A968+0xC4,0x00681CD0,Network::getUnknownBytesPerSecond
vslot,0x0111A968+0xC8,0x00681D00,Network::getUnknownPacketsPerSecond
vslot,0x0111A968+0xCC,0x00681D30,_bfme_getFramesBehindPacketRouter
vslot,0x0111A968+0xD8,0x00681DB0,_bfme_getPlayerLatestFrame
vslot,0x0111A968+0xDC,0x00681BD0,_bfme_isRouterLeavePending
vslot,0x0111A968+0xE0,0x00681DD0,_bfme_isPlayerSlotActive
thunk,0x00022985,0x00682770,ILT for slot 0
thunk,0x00040FB6,0x00681E40,ILT for init
thunk,0x0003CF1A,0x00681910,ILT for reset
thunk,0x00009D0E,0x00681930,ILT for liteupdate
thunk,0x00027E12,0x00682C70,ILT for update
thunk,0x000069E7,0x00681960,ILT for parseUserList
thunk,0x0002AA45,0x00681980,ILT for setLocalAddress
thunk,0x00023F01,0x006819B0,ILT for initTransport
thunk,0x000238BC,0x006819E0,ILT for _bfme_getFrameHeadroom
thunk,0x0002AF68,0x00681A00,ILT for _bfme_isLocalPlayerInGame
thunk,0x0003ED9C,0x00682310,ILT for _bfme_sendFrameInfo
thunk,0x0002B512,0x00682440,ILT for sendChat
thunk,0x0002193B,0x00682540,ILT for sendFile
thunk,0x0001B487,0x006825C0,ILT for sendFileAnnounce
thunk,0x000149E8,0x00681A10,ILT for areAllQueuesEmpty
thunk,0x0003B656,0x00681A20,ILT for _bfme_setFileTransferMode
thunk,0x0000C8C9,0x00681A40,ILT for _bfme_clearFileTransferMode
thunk,0x00001A5F,0x00681A80,ILT for loadProgressComplete
thunk,0x00031D81,0x006822E0,ILT for quitGame
thunk,0x0003D1F4,0x00682270,ILT for voteForPlayerDisconnect
thunk,0x000266D4,0x00681AC0,ILT for getPingsSent
thunk,0x00022165,0x00681AF0,ILT for getPingsRecieved
thunk,0x0001865B,0x00681B40,ILT for _bfme_getPacketRouterSlot
thunk,0x000393E2,0x00681B60,ILT for getNumPlayers
thunk,0x0002B85F,0x00681B80,ILT for getLocalPlayerID
thunk,0x0003171E,0x00681BC0,ILT for _bfme_isInUpdate
thunk,0x00005461,0x00681BE0,ILT for _bfme_isWaitingForPlayers
thunk,0x00028C9F,0x00681C10,ILT for getIncomingBytesPerSecond
thunk,0x00042514,0x00681C70,ILT for getOutgoingBytesPerSecond
thunk,0x00019AAB,0x00681CA0,ILT for getOutgoingPacketsPerSecond
thunk,0x0000AFA6,0x00681CD0,ILT for getUnknownBytesPerSecond
thunk,0x00039806,0x00681D00,ILT for getUnknownPacketsPerSecond
thunk,0x00030E27,0x00681D30,ILT for _bfme_getFramesBehindPacketRouter
thunk,0x00042500,0x00681DB0,ILT for _bfme_getPlayerLatestFrame
thunk,0x0001D65B,0x00681BD0,ILT for _bfme_isRouterLeavePending
thunk,0x00021A80,0x00681DD0,ILT for _bfme_isPlayerSlotActive
thunk,0x000393BF,0x006828D0,ILT for GetCommandsFromCommandList (called from update)
thunk,0x0004215E,0x00682A90,ILT for RelayCommandsToCommandList (called from update)
thunk,0x0001632E,0x006827A0,ILT for processDestroyPlayerCommand
thunk,0x0001AB3B,0x00680980,ILT for NetPacket::getCommandList
thunk,0x00010140,0x006823B0,ILT for ??1Network (called by the scalar deleting dtor)
thunk,0x0001E8F8,0x006818B0,ILT for construct@BFMENativeNetwork (called by the factory 0x00682320)
thunk,0x0001D0B1,0x00682320,ILT for the TheNetwork factory 0x00682320
insn,0x00682B52,"mov dword ptr [esi + 0x38], edx",RelayCommandsToCommandList stores the router leave frame (msg+0x08) into Network+0x38
insn,0x00682BFA,"mov dword ptr [esi + 0x38], 0xffffffff",RelayCommandsToCommandList clears Network+0x38 after the router leave completes
insn,0x00682BD0,"mov eax, dword ptr [esi + 0x38]",RelayCommandsToCommandList reads +0x38 for the all-players-reached test 0x00662D50
insn,0x00681EE8,"mov dword ptr [esi + 0x38], edi",init sets +0x38 = -1 (edi from or edi 0xffffffff at 0x00681E9D)
insn,0x00681E9D,"or edi, 0xffffffff",init: edi = -1 before the +0x38 store
insn,0x00681BD0,"mov edx, dword ptr [ecx + 0x38]",slot 55 _bfme_isRouterLeavePending reads +0x38
insn,0x00681BD5,"cmp edx, -1",slot 55 compares +0x38 with -1
insn,0x006822FC,"mov dword ptr [esi + 0xc], 3",quitGame stores status 3 (POSTGAME)
insn,0x006822F7,push 0x1d,quitGame appends MSG_CLEAR_GAME_DATA (0x1D) to TheMessageStream
insn,0x00682C7E,"mov dword ptr [esi + 0xc], 1",update: PREGAME(0) -> INGAME(1)
insn,0x00682C98,"cmp dword ptr [esi + 0xc], 2",update tests status 2 (LEFT)
insn,0x00682CB3,"mov dword ptr [esi + 0xc], 3",update: LEFT(2) -> POSTGAME(3)
insn,0x00682CAE,push 0x1d,update appends MSG_CLEAR_GAME_DATA on the 2->3 transition
insn,0x00682C78,"mov byte ptr [esi + 0x34], 0",update clears +0x34 first (ZH m_frameDataReady = FALSE)
insn,0x00682A18,"mov dword ptr [edi + 0xc], 2",GetCommandsFromCommandList sets status 2 after the 10 s forced self-destroy
insn,0x00682B6E,"mov dword ptr [esi + 0xc], 2",RelayCommandsToCommandList sets status 2 when beginPlayerLeave returns 1 (local)
insn,0x00682BF3,"mov dword ptr [esi + 0xc], 2",RelayCommandsToCommandList sets status 2 when the router's pending leave completes
insn,0x00681EAC,"mov dword ptr [esi + 0xc], ebx",init sets status 0 (ebx zeroed at 0x00681E5E)
insn,0x00681E5E,"xor ebx, ebx",init: ebx = 0
insn,0x00681A00,"mov edx, dword ptr [ecx + 0xc]",slot 18 _bfme_isLocalPlayerInGame reads status
insn,0x00681A05,"cmp edx, 1",slot 18 compares status with INGAME
insn,0x0068193F,"cmp dword ptr [ecx + 0xc], 1",liteupdate passes status==1 to ConnectionManager::update
insn,0x00681F43,"mov ecx, dword ptr [esi + 0xc]",isPlayerConnected reads status for the local player
insn,0x00682915,"cmp dword ptr [edi + 0xc], ebp",GetCommandsFromCommandList gates sending on status==1 (ebp=1)
insn,0x006828FC,"mov ebp, 1",GetCommandsFromCommandList: ebp = 1
insn,0x00682904,"cmp eax, 0x3e8",GetCommandsFromCommandList network message range lower bound
insn,0x0068290E,"cmp eax, 0x7cf",GetCommandsFromCommandList network message range upper bound
insn,0x00682956,"cmp eax, 0x1d",GetCommandsFromCommandList MSG_CLEAR_GAME_DATA arm
insn,0x00682AA1,"mov eax, dword ptr [esi + 0xc]",RelayCommandsToCommandList reads status (must be != 0)
insn,0x00682AFE,"sub eax, 4",RelayCommandsToCommandList switch: NetCommandType 4 GAMECOMMAND
insn,0x00682B07,"sub eax, 6",RelayCommandsToCommandList switch: 10 PLAYERLEAVE
insn,0x00682B0C,dec eax,RelayCommandsToCommandList switch: 11 DESTROYPLAYER
insn,0x00682832,push 0x447,processDestroyPlayerCommand builds GameMessage MSG_SELF_DESTRUCT (0x447)
insn,0x00681BA0,"mov byte ptr [ecx + 0x35], 1",slot 41 sets +0x35
insn,0x00681BB0,"mov byte ptr [ecx + 0x35], 0",slot 42 clears +0x35
insn,0x00681BC0,"mov al, byte ptr [ecx + 0x35]",slot 40 reads +0x35
insn,0x0006BB1D,call dword ptr [edx + 0xa4],GameEngine update core calls slot 41 before update
insn,0x0006BB2B,push esi,GameEngine update core pushes its Bool (1) for Network::update
insn,0x0006BB2C,call dword ptr [eax + 0x28],GameEngine update core calls Network::update
insn,0x0006BB37,call dword ptr [edx + 0xa8],GameEngine update core calls slot 42 after update
insn,0x0006BAFA,"mov ecx, dword ptr [0x12f7714]",GameEngine update core loads TheNetwork (0x012F7714)
insn,0x0068236A,"mov dword ptr [0x12f7714], eax",factory 0x00682320 stores the new BFMENativeNetwork into TheNetwork
insn,0x00682346,push 0x40,factory 0x00682320 allocates sizeof(BFMENativeNetwork) = 0x40
insn,0x00681E74,push 0x12190,init allocates sizeof(ConnectionManager) = 0x12190
insn,0x00491F7F,push 0,load screen pumps Network::update with 0
insn,0x0068198D,"mov dword ptr [eax + 0x12050], edx",setLocalAddress stores addr at conMgr+0x12050
insn,0x00681996,"mov dword ptr [eax + 0x12054], ecx",setLocalAddress stores port at conMgr+0x12054
insn,0x00681A27,"mov byte ptr [eax + 0x12114], 1",_bfme_setFileTransferMode
insn,0x00681A47,"mov byte ptr [eax + 0x12114], 0",_bfme_clearFileTransferMode
insn,0x0066ADAA,"mov dl, byte ptr [ebp + 0x12114]",ConnectionManager::update passes the file-transfer byte to Connection::doSend
insn,0x00681BF1,"movzx eax, byte ptr [eax + 0x270]",_bfme_isWaitingForPlayers reads DisconnectManager+0x270
insn,0x0066CA7A,"mov byte ptr [esi + 0x270], 1",DisconnectManager update sets +0x270 when connected players are behind
insn,0x0066CA0B,"mov byte ptr [esi + 0x270], 0",DisconnectManager update clears +0x270 when nobody is behind
insn,0x00681D3D,"mov eax, dword ptr [eax + 0x1205c]",_bfme_getFramesBehindPacketRouter reads the frame ceiling
insn,0x00681D43,"sub eax, dword ptr [ecx + 0x3c]",_bfme_getFramesBehindPacketRouter subtracts TheGameLogic frame
insn,0x00681DBB,"mov eax, dword ptr [eax + ecx*4 + 0x12060]",_bfme_getPlayerLatestFrame indexes conMgr+0x12060
insn,0x00681AC7,"mov eax, dword ptr [eax + 0x120e0]",getPingsSent reads conMgr+0x120E0 DisconnectManager
insn,0x0066B130,"mov eax, dword ptr [ecx + 0x260]",Gen_0066b130 getter behind getPingsSent
insn,0x0066B140,"mov eax, dword ptr [ecx + 0x264]",Gen_0066b140 getter behind getPingsRecieved
insn,0x00681B8C,"mov eax, 0x31",getLocalPlayerID default 49 as ZH
insn,0x00681B6C,"or eax, 0xffffffff",getNumPlayers default -1 as ZH
insn,0x00665D5F,"mov dword ptr [esi + 0x14], 3",sendFrameInfo stamps NetCommandType FRAMEINFO
insn,0x00664A9B,"mov dword ptr [esi + 0x14], 0x10",sendLoadCompleteCommand stamps NetCommandType LOADCOMPLETE
insn,0x00682011,inc dword ptr [esi + 0x2c],getFrameAdvanceCount counts run-ahead ceiling hits in +0x2C
insn,0x00681D60,"mov eax, dword ptr [ecx + 0x2c]",slot 52 returns the ceiling-hit counter
insn,0x006823CE,"mov dword ptr [esi], 0x111a968",??1Network installs the BFMENativeNetwork vtable
insn,0x006823FD,"mov dword ptr [esi], 0x111a850",??1Network falls back to the NetworkInterface vtable before ??1Snapshot
insn,0x00680A97,jmp dword ptr [ebp*4 + 0xa80ee4],NetPacket::getCommandList 'D' dispatch table
bytes,0x00681910,8b01ff6004,reset: mov eax [ecx] / jmp [eax+4]
bytes,0x00681BA0,c6413501c3,slot 41: +0x35 = 1
bytes,0x00681BB0,c6413500c3,slot 42: +0x35 = 0
bytes,0x00681BC0,8a4135c3,slot 40: return +0x35
bytes,0x00681920,c3,slot 5 no-op (SubsystemInterface::update position; startNewGame 0x0039451C)
bytes,0x00681D60,8b412cc3,slot 52: return +0x2C
bytes,0x00662DE0,8b812c200100c3,getPacketRouterSlot@ConnectionManager: return +0x1202C
bytes,0x00673AF0,8a411cc3,getLeavingPlayerID@NetPlayerLeaveCommandMsg: return byte +0x1C
jt,0x00A80EE4[10],0x00680AFE,getCommandList case 10 PLAYERLEAVE arm (calls readPlayerLeaveMessage 0x00678BB0)
jt,0x00A80EE4[11],0x00680B0E,getCommandList case 11 DESTROYPLAYER arm (calls readDestroyPlayerMessage 0x00678C40)
jt,0x00A80EE4[4],0x00680A9E,getCommandList case 4 GAMECOMMAND arm
jt,0x00A80EE4[0],0x00680AAE,getCommandList case 0 ACKBOTH arm
jt,0x00A6A634[3],0x0066A466,processIncomingCommand case 3 FRAMEINFO: inline arm (walks +0x12060/+0x120A0; raises +0x1205C off-router)
jt,0x00A6A634[7],0x0066A53B,case 7 REQUESTPLAYERLEAVE: 13-byte stub arm push esi / mov ecx edi / call ILT 0x00038627 -> body 0x00662D90 (table entries are arms inside the dispatcher; not thunks)
jt,0x00A6A634[8],0x0066A4F7,case 8 INFORMPLAYERLEAVEFRAME: stub arm -> ILT 0x00019169 -> 0x00664430 processInformPlayerLeaveFrameCommand
jt,0x00A6A634[9],0x0066A52A,case 9 REQUESTFRAMEDATA: stub arm -> ILT 0x0003CB00 -> 0x006659B0 processRequestFrameDataCommand
jt,0x00A6A634[10],0x0066A608,case 10 PLAYERLEAVE: shared arm cmp eax 0x17 / jle -> returns TRUE (frame-synchronized; executed by 0x00682A90 from the frame command list)
jt,0x00A6A634[11],0x0066A608,case 11 DESTROYPLAYER: same shared TRUE arm
jt,0x00A6A634[6],0x0066A519,case 6 GAMESPY_STATS_AUTHKEY: stub arm -> ILT 0x000204AF -> 0x006645B0
jt,0x00A6A634[13],0x0066A59E,case 13 DISCONNECTCHAT: stub arm -> ILT 0x00006BC2 -> 0x006655C0 processDisconnectChat
jt,0x00A6A634[14],0x0066A5C4,case 14 CHAT: stub arm -> ILT 0x00004A07 -> 0x00667060 (really processChat)
jt,0x00A6A634[20],0x0066A5E6,case 20 FILEANNOUNCE: stub arm -> ILT 0x000089F4 -> 0x0066A030 processFileAnnounce
jt,0x00A6A634[21],0x0066A5F7,case 21 FILEPROGRESS: stub arm -> ILT 0x00030373 -> 0x00669960 processFileProgress
insn,0x0066A434,"cmp eax, 0x16",dispatcher table bound (23 entries 0..0x16)
insn,0x0066A43D,jmp dword ptr [eax*4 + 0xa6a634],dispatcher indirect jump through the table at VA 0x00A6A634
insn,0x0066A53E,call 0x438627,case-7 arm call -> ILT 0x00038627
insn,0x0066A4FA,call 0x419169,case-8 arm call -> ILT 0x00019169
insn,0x0066A52D,call 0x43cb00,case-9 arm call -> ILT 0x0003CB00
insn,0x0066A608,"cmp eax, 0x17",shared arm for cases 4/10/11: types <= 0x17 return TRUE
insn,0x0066A60B,jle 0xa6a44c,shared arm jump to the mov al 1 epilogue
thunk,0x00038627,0x00662D90,ILT of the REQUESTPLAYERLEAVE handler
thunk,0x00019169,0x00664430,ILT of processInformPlayerLeaveFrameCommand
thunk,0x0003CB00,0x006659B0,ILT of processRequestFrameDataCommand
thunk,0x0002442E,0x00674250,ILT of the type-7 payload getter (mov eax [ecx+0x1c]) called three times by 0x00662D90
thunk,0x00028D5D,0x00666300,ILT of disconnectPlayer used by disconnectLocalPlayer 0x006665F1 and beginPlayerLeave 0x006673CE
thunk,0x00004A07,0x00667060,ILT of the CHAT handler
thunk,0x00006BC2,0x006655C0,ILT of processDisconnectChat
thunk,0x000204AF,0x006645B0,ILT of the GAMESPY_STATS_AUTHKEY handler
thunk,0x000089F4,0x0066A030,ILT of processFileAnnounce
thunk,0x00030373,0x00669960,ILT of processFileProgress
thunk,0x00011B08,0x0066B820,vtable 0x0111A2CC slot 0 thunk -> DisconnectManager scalar deleting dtor
thunk,0x0003B13D,0x0066B820,second ILT landing on the DisconnectManager scalar deleting dtor
thunk,0x00013633,0x00661F10,ILT of Connection::doSend (flushConnections 0x00663708; update 0x0066ADB1)
thunk,0x00022A61,0x00661C30,ILT of Connection::clearCommandsExceptFrom
thunk,0x0004845A,0x00661CA0,ILT of Connection::setQuitting
thunk,0x00026D3C,0x006624A0,ILT of Connection::sendNetCommandMsg
thunk,0x0004A895,0x00662D50,ILT of haveAllConnectedPlayersReachedFrame
thunk,0x0003A12A,0x00662E30,ILT of hasLeaveRequestTimedOut
thunk,0x000316DD,0x00662E70,ILT of clearLeaveRequestTime
thunk,0x0001EF5B,0x00663450,ILT of getFrameCommandList
thunk,0x0004230C,0x006636F0,ILT of flushConnections
thunk,0x0003CECF,0x006652B0,ILT of ~Connection
thunk,0x00029744,0x006665E0,ILT of disconnectLocalPlayer
thunk,0x0003E3AB,0x0066B150,ILT of hasPingSuccessRatioAtLeast
thunk,0x0002FA63,0x0066BBC0,ILT of countVotersExcluding
thunk,0x00034900,0x0066BFE0,ILT of turnOnScreen
thunk,0x000078F6,0x00675ED0,ILT of constructGameMessage
thunk,0x00029190,0x00679730,ILT of NetPacket(TransportMessage*)
thunk,0x0001769D,0x006649A0,ILT of resendPendingCommands (no caller)
thunk,0x00028259,0x0066B190,ILT of sendDisconnectScreenOff (no caller)
thunk,0x0002A7D9,0x0066B6A0,ILT of hasPlayerConnectionTimedOut (no caller)
thunk,0x00011EA5,0x0066BB60,ILT of countVoters (no caller)
