# Subsystems registered by GameEngine::init (0x00079060), in registration order.
#
# Recovered mechanically from the binary: walk init's push/call stream, split at
# each "TheXxx" string literal that feeds StringBase<char>::StringBase(const char*),
# and read back the preceding operator-new size + constructor, or the factory call
# when the subsystem is not new'd.
#
# Order is INI override precedence. TheSubsystemLegend is first so everything after
# it can look itself up; only TheWritableGlobalData and TheVictorySystem are handed
# hard-coded INI paths, so the other 58 load solely through SubsystemLegend.ini.
#
# ctor_or_factory / init_template are RVAs. sizeof is what retail passes to
# operator new. Each subsystem has its own initSubsystem<T> instantiation, ~192
# bytes apiece, laid out consecutively from 0x00072DD0 — 60 more matchable
# functions once the classes exist.
#
# name	sizeof	ctor_or_factory	via	initSubsystem<T>
TheSubsystemLegend	12	0x00078AD0	new	0x00072DD0
TheWritableGlobalData	4752	0x00084510	new	0x00072E90
TheGlobalLanguageData	312	0x00439E70	new	0x00072F50
TheGameText	-	0x004385A0	factory	0x00073010
TheAudio	-	0x00073010	factory	0x000730D0
TheEva	108	0x004271B0	new	0x00073190
TheScienceStore	20	0x009A1A30	new	0x00073250
TheUpgradeCenter	20	0x0010A6A0	new	0x00073310
TheMultiplayerSettings	136	0x0008EF80	new	0x000733D0
TheTerrainTypes	12	0x000A71C0	new	0x00073490
TheTerrainRoads	16	0x00601430	new	0x00073550
TheCDManager	-	0x006BA540	factory	0x00073610
TheGlobalWeatherSystem	80	0x0039B450	new	0x000736D0
TheFunctionLexicon	-	0x000736D0	factory	0x00073790
TheModuleFactory	-	0x00073790	factory	0x00073850
TheMessageStream	-	0x00073850	factory	0x00073910
TheSidesList	2540	0x0019EA80	new	0x000739D0
TheCaveSystem	24	0x003785E0	new	0x00073A90
TheRankInfoStore	20	0x009A1A30	new	0x00073B50
ThePlayerAITypeSet	20	0x009A1A30	new	0x00073C10
ThePlayerTemplateStore	20	0x000E3F50	new	0x00073CD0
TheFXParticleSystemManager	-	0x00073CD0	factory	0x00073D90
TheFXListStore	28	0x0042E020	new	0x00073E50
TheWeaponStore	20	0x001E5290	new	0x00073F10
TheObjectCreationListStore	32	0x001DAD50	new	0x00073FD0
TheLocomotorStore	20	0x001B7D70	new	0x00074090
TheSpecialPowerStore	24	0x000EB9D0	new	0x00074150
TheDamageFXStore	28	0x00067C10	new	0x00074210
TheArmorStore	28	0x001B0BC0	new	0x000742D0
TheBuildAssistant	20	0x000FDA80	new	0x00074390
TheEmotionSystem	32	0x0037CC20	new	0x00074450
TheThingFactory	-	0x00074450	factory	0x00074510
TheLightPointSystem	20	0x0039C160	new	0x000745D0
TheExperienceLevelSystem	48	0x00381480	new	0x00074690
TheAptPlayer	-	0x00074690	factory	0x00074750
TheLivingWorldManager	676	0x006171D0	new	0x00074810
TheGameClient	-	0x00074810	factory	0x000748D0
TheAI	32	0x0014C170	new	0x00074990
TheAerialPathfinder	16	0x00076B60	new	0x00074A50
TheLivingWorldLogic	220	0x003C2FC0	new	0x00074B10
TheSplineService	8	0x009A1A30	new	0x00074BD0
TheAttributeModifierStore	20	0x009A1A30	new	0x00074C90
TheTaintManager	16	0x00880F00	new	0x00074D50
TheScriptEngine	95840	0x00347E60	new	0x00074E10
TheLuaScriptEngine	188	0x002EB4A0	new	0x00074ED0
TheTeamFactory	32	0x000F2250	new	0x00074F90
TheCrateSystem	20	0x003799D0	new	0x00075050
ThePlayerList	148	0x000DFBD0	new	0x00075110
TheGameLogic	-	0x00075110	factory	0x000751D0
TheRecorder	-	0x0009A2A0	factory	0x00075290
TheRadar	-	0x00075290	factory	0x00075350
TheVictoryConditions	-	0x0035F810	factory	0x00075420
TheMetaMap	12	0x005B6A80	new	0x000754E0
TheHouseColorSystem	16	0x009A1A30	new	0x000755A0
TheLivingWorldCampaignManager	44	0x003B5100	new	0x00075660
TheVictorySystem	268	0x001E0160	new	0x00075720
TheActionManager	8	0x000C3FF0	new	0x000757E0
TheGameStateMap	12	0x001129B0	new	0x000758A0
TheGameState	88	0x001111C0	new	0x00075960
TheGameResultsQueue	-	0x006426E0	factory	0x00075A20
