module	origin	shape	reg_site_rva	name_literal_rva	new_module_instance_rva	new_module_data_rva	interface_mask	object_size	constructor_rva
AIUpdateInterface	ModuleFactory::init	mapAssign	0x0012E252	0x00C90584	0x001167E0	0x00116860	0x11	0x340	0x0027F4B0
AODCrushCollide	ModuleFactory::init	addModuleInternal	0x0012FBC6	0x00C8FC78	0x0011EC20	0x0011ECA0	0x11	0x30	0x00215C50
AODHordeContain	ModuleFactory::init	mapAssign	0x0012CE5E	0x00C90AD4	0x001161D0	0x00116250	0x5F	0x7F8	0x00230580
ActiveBody	ModuleFactory::init	addModuleInternal	0x0012FE28	0x00C8FB98	0x0011F3A0	0x0011F420	0x20	0xE0	0x00211A50
AimWeaponBehavior	ModuleFactory::init	mapAssign	0x0012C882	0x00C90C5C	0x00115130	0x001151B0		0x24	0x001ECF40
AnimalAIUpdate	ModuleFactory::init	addModuleInternal	0x0012EF51	0x00C900D4	0x00116990	0x00116A10	0x11	0x358	0x002B3090
AnimatedParticleSysBoneClientUpdate	ModuleFactory::init	addModuleInternal	0x0013077E	0x00C8F7CC	0x00121A70	0x00113BE0	0x800	0x10	0x00602ED0
AnimationSoundClientBehavior	ModuleFactory::init	addModuleInternal	0x00130841	0x00C8F77C	0x00121D20	0x00121DA0	0x1000	0x1C	0x00605380
ArmorUpgrade	ModuleFactory::init	addModuleInternal	0x0012F1F6	0x00C8FFF4	0x0011D090	0x0012AF20	0x84	0x1C	0x002D2AB0
ArrowStormUpdate	ModuleFactory::init	addModuleInternal	0x0012E731	0x00C90448	0x00118EB0	0x00118F30	0x1	0xFC	0x002576E0
AssaultTransportAIUpdate	ModuleFactory::init	mapAssign	0x0012DBCA	0x00C90720	0x001187F0	0x00118870	0x11	0x3A0	0x002B46F0
AssistedTargetingUpdate	ModuleFactory::init	mapAssign	0x0012D8B2	0x00C9080C	0x00117C40	0x001237B0		0x20	0x0027FB60
AttributeModifierAuraUpdate	ModuleFactory::init	addModuleInternal	0x0012EA8A	0x00C90278	0x0011A8D0	0x0011A950	0x81	0x28	0x002800D0
AttributeModifierPoolUpdate	ModuleFactory::init	addModuleInternal	0x0012F0FC	0x00C90038	0x001194C0	0x00125220	0x1	0x68	0x00369FD0
AttributeModifierUpgrade	ModuleFactory::init	addModuleInternal	0x0012F676	0x00C8FE64	0x0011DE20	0x0012B950	0x84	0x1C	0x002D2EB0
AudioLoopUpgrade	ModuleFactory::init	addModuleInternal	0x0012F7B6	0x00C8FE04	0x0011E0B0	0x0011E130	0x83	0x30	0x002D32B0
AutoAbilityBehavior	ModuleFactory::init	mapAssign	0x0012C7D2	0x00C90C8C	0x00114F10	0x00114F90		0x24	0x001ED8A0
AutoDepositUpdate	ModuleFactory::init	mapAssign	0x0012DFEA	0x00C84024	0x0011A600	0x00123F20		0x28	0x00280D90
AutoFindHealingUpdate	ModuleFactory::init	mapAssign	0x0012D90A	0x00C907F0	0x00119780	0x00119800		0x24	0x00281480
AutoHealBehavior	ModuleFactory::init	mapAssign	0x0012C2FE	0x00C90DC4	0x00114200	0x00129E40	0x85	0x34	0x001EE950
AutoPickUpUpdate	ModuleFactory::init	mapAssign	0x0012E4BB	0x00C904F0	0x00119AB0	0x00119B30		0x2C	0x00281AB0
BannerCarrierUpdate	ModuleFactory::init	addModuleInternal	0x0012E5C3	0x00C904A4	0x00119BC0	0x00119C40	0x1	0x20	0x00283330
BaseUpgrade	ModuleFactory::init	addModuleInternal	0x0012F236	0x00C8FFE4	0x0011D110	0x0011D190	0x84	0x1C	0x002D3800
