finding,file,line,confidence,source
AABTreeClass+0xc|m_bfmeRoot|Nodes,game/GameEngine/Source/Common/BfmeConv911.cpp,30,1.00,layout_witness
AIUpdateInterface+0x1cc|m_locomotor|m_curLocomotor,game/GameEngine/Source/GameLogic/AI/Rva0017DC90State_onExit.cpp,72,1.00,layout_witness
AIUpdateInterface+0x1fc|m_nextMoodCheckTime|m_repulsor2,game/GameEngine/Source/GameLogic/AI/Rva0018D4F0TurretStateUpdate.cpp,20,1.00,layout_witness
AIUpdateInterface+0x326|m_pathRequested|m_isBlockedAndStuck,game/GameEngine/Source/GameLogic/AI/AIPickUpCrateState_computePath.cpp,22,1.00,layout_witness
BaseHeightMapRenderObjClass+0x2ff4|m_shroudSecondary|m_map,game/GameEngineDevice/Source/W3DDevice/GameClient/BaseHeightMapReleaseResources_Bfme.cpp,146,1.00,layout_witness
BaseHeightMapRenderObjClass+0x2ff4|m_shroudSecondary|m_map,game/GameEngineDevice/Source/W3DDevice/GameClient/BaseHeightMapReAcquireResources_Bfme.cpp,104,1.00,layout_witness
BoneFXUpdateModuleData+0xc|m_damageOCLTypes|m_fxList,game/GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate_initTimes.cpp,94,1.00,field_names
CommandButton+0x10|m_commandType|m_command,game/GameEngine/Source/GameClient/GUI/ControlBar/Rva005A7E20FindSpecialPowerButton.cpp,62,1.00,field_names
CommandButton+0x10|m_state|m_command,game/GameEngine/Source/Common/BfmeConv821.cpp,88,1.00,field_names
CommandButton+0x34|m_specialPowerTemplate|m_specialPower,game/GameEngine/Source/GameLogic/Object/Update/CommandButtonHuntUpdate_huntSpecialPower.cpp,139,1.00,field_names
CommandButton+0x40|m_buttonImageName|m_invalidCursorName,game/GameEngine/Source/GameClient/GUI/ControlBar/CommandButton_cacheButtonImage.cpp,42,1.00,field_names
CommandButton+0x40|m_buttonImageName|m_invalidCursorName,game/GameEngine/Source/GameClient/GUI/ControlBar/CommandButton_getButtonImage.cpp,42,1.00,field_names
DX8MeshRendererClass+0x4|m_camera|camera,game/Libraries/Source/WWVegas/WW3D2/WW3DRenderObjectBfme.cpp,74,1.00,layout_witness
DelayedUpgradeModuleData+0x70|m_extra|m_delayTime,game/GameEngine/Source/GameLogic/Object/Upgrade/DelayedUpgradeFriendNewModuleDataThunk.cpp,33,1.00,field_names
EvaCheckInfo+0x4|m_framesBetweenChecks|m_framesToExpire,game/GameEngine/Source/GameClient/EvaCheck_trigger.cpp,22,1.00,field_names
ExitConditions+0x14|m_attackGiveUpFrame|m_radiusSqr,game/GameEngine/Source/GameLogic/AI/AIGuardOuterState_update_Bfme.cpp,129,1.00,layout_witness
ExitConditions+0x4|m_center|m_conditionsToConsider,game/GameEngine/Source/GameLogic/AI/AIGuardOuterState_update_Bfme.cpp,127,1.00,layout_witness
File+0x4|m_nameData|m_nameStr,game/GameEngineDevice/Source/Win32Device/Common/Win32LocalFileSystemOpenFileWide.cpp,103,1.00,layout_witness
File+0xc|m_flags|m_open,game/GameEngine/Source/Common/System/StreamingArchiveFileRead.cpp,34,1.00,layout_witness
FullFadeTransition+0x18|m_posX|m_pos,game/GameEngine/Source/GameClient/GUI/FullFadeTransition_init_Thunk.cpp,48,1.00,layout_witness
FullFadeTransition+0x20|m_sizeX|m_size,game/GameEngine/Source/GameClient/GUI/FullFadeTransition_init_Thunk.cpp,50,1.00,layout_witness
GameClientRandomVariable+0x0|m_type|DistributionTypeNames,game/GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate_initTimes.cpp,49,1.00,layout_witness
GameClientRandomVariable+0x0|m_type|DistributionTypeNames,game/GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate_update_Thunk.cpp,34,1.00,layout_witness
GameClientRandomVariable+0x0|m_type|DistributionTypeNames,game/GameEngine/Source/GameClient/System/FXParticleSystem/DefaultModuleTemplate02CopyCtorThunk.cpp,34,1.00,layout_witness
GameClientRandomVariable+0x0|m_type|DistributionTypeNames,game/GameEngine/Source/GameClient/System/FXParticleSystem/DefaultModuleTemplate02AssignThunk.cpp,13,1.00,layout_witness
GameLogicRandomVariable+0x0|m_type|DistributionTypeNames,game/GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate_initTimes.cpp,60,1.00,layout_witness
GameLogicRandomVariable+0x0|m_type|DistributionTypeNames,game/GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate_update_Thunk.cpp,45,1.00,layout_witness
GameSlot+0x10|m_color|m_startPos,game/GameEngine/Source/GameNetwork/ResetLanSession.cpp,12,1.00,layout_witness
GameSpyInfo+0x14|m_ping|m_pingString,game/GameEngine/Source/GameNetwork/GameSpy/GameSpyInfoSetPingStringThunk.cpp,16,1.00,layout_witness
GlobalData+0x1e|m_fpsLimitEnabled|m_useFpsLimit,game/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/OptionPreferences_getFPSLimitEnabled.cpp,67,1.00,field_names
GlobalData+0x68|m_textureReduction|m_textureReductionFactor,game/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/OptionPreferences_getTextureReduction_Thunk.cpp,63,1.00,field_names
GlobalData+0x70|m_buildingOcclusionEnabled|m_enableBehindBuildingMarkers,game/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/OptionPreferences_getBuildingOcclusionEnabled.cpp,67,1.00,field_names
GlobalData+0xb94|m_bfmeBonuses|m_weaponBonusSet,game/GameEngine/Source/GameLogic/Object/Weapon_computeBonus.cpp,61,1.00,field_names
GlobalData+0xbb4|m_bfmeNoShellAudio|m_shellMapOn,game/GameEngine/Source/GameClient/Shell_hide.cpp,108,1.00,field_names
GlobalData+0xc78|m_shroudColorR|m_shroudColor,game/GameEngine/Source/Common/PackShroudPixel.cpp,15,1.00,field_names
GridCullSystemClass+0x54|m_objCount|ObjCount,game/Libraries/Source/WWVegas/WWMath/GridCullSystemClass_Get_Object_Count_Thunk.cpp,34,1.00,layout_witness
HTreeClass+0x14|m_pivotCountOrPtr|Pivot,game/Libraries/Source/WWVegas/WW3D2/HTreeClass.cpp,17,1.00,layout_witness
IPEnumeration+0x0|m_addresses|m_IPlist,game/GameEngine/Source/GameClient/GUI/BfmeAptScreenLanLobbyInitLan.cpp,103,1.00,layout_witness
