file_offset	va	entries	verdict	identifier_share	nul_terminated	dwords_if_bitflags	first_name	last_name	names
0x00ea6918	0x012a6918	304	NAME_TABLE	1.0	yes	10	TOPPLED	EMOTION_UNCONTROLLABLY_AFRAID	TOPPLED FRONTCRUSHED BACKCRUSHED DAMAGED REALLYDAMAGED RUBBLE SPECIAL_DAMAGED NIGHT SNOW PARACHUTING GARRISONED ENEMYNEAR WEAPONSET_VETERAN WEAPONSET_ELITE WEAPONSET_HERO WEAPONSET_PASSENGER_TYPE_ONE WEAPONSET_PASSENGER_TYPE_TWO WEAPONSET_PLAYER_UPGRADE WEAPONSTATE_ONE WEAPONSTATE_TWO WEAPONSTATE_THREE DOOR_1_OPENING DOOR_1_CLOSING DOOR_1_WAITING_OPEN DOOR_1_WAITING_TO_CLOSE DOOR_2_OPENING DOOR_2_CLOSING DOOR_2_WAITING_OPEN DOOR_2_WAITING_TO_CLOSE DOOR_3_OPENING DOOR_3_CLOSING DOOR_3_WAITING_OPEN DOOR_3_WAITING_TO_CLOSE DOOR_4_OPENING DOOR_4_CLOSING DOOR_4_WAITING_OPEN DOOR_4_WAITING_TO_CLOSE ATTACKING ATTACKING_STRUCTURE PREATTACK_A FIRING_A FIRING_OR_PREATTACK_A FIRING_OR_RELOADING_A BETWEEN_FIRING_SHOTS_A RELOADING_A PREATTACK_B FIRING_B FIRING_OR_PREATTACK_B FIRING_OR_RELOADING_B BETWEEN_FIRING_SHOTS_B RELOADING_B PREATTACK_C FIRING_C FIRING_OR_PREATTACK_C FIRING_OR_RELOADING_C BETWEEN_FIRING_SHOTS_C RELOADING_C TURRET_ROTATE POST_RUBBLE POST_COLLAPSE MOVING DYING EMOTION_ALERT EMOTION_AFRAID EMOTION_TERROR EMOTION_PANIC AWAITING_CONSTRUCTION PARTIALLY_CONSTRUCTED ACTIVELY_BEING_CONSTRUCTED UNIT_ACTIVELY_BEING_CONSTRUCTED PRONE FREEFALL ACTIVELY_CONSTRUCTING CONSTRUCTION_COMPLETE RADAR_EXTENDING RADAR_UPGRADED PANICKING AFLAME SMOLDERING BURNED DOCKING DOCKING_BEGINNING DOCKING_ACTIVE DOCKING_ENDING CARRYING FLOODED LOADED PASSENGER TRANSPORT_MOVING TRANSPORT_STOPPED CLUB JETAFTERBURNER JETEXHAUST PACKING PREPARING UNPACKING PACKING_TYPE_1 PACKING_TYPE_2 PACKING_TYPE_3 DEPLOYED OVER_WATER POWER_PLANT_UPGRADED CLIMBING SOLD RAPPELLING ARMED POWER_PLANT_UPGRADING SPECIAL_CHEERING CONTINUOUS_FIRE_SLOW CONTINUOUS_FIRE_MEAN CONTINUOUS_FIRE_FAST RAISING_FLAG CAPTURED EXPLODED_FLAILING EXPLODED_BOUNCING SPLATTED USING_WEAPON_A USING_WEAPON_B USING_WEAPON_C PREORDER STUNNED_FLAILING STUNNED WANDER WALKING CHARGING TURN_LEFT TURN_RIGHT ACCELERATE DECELERATE TURN_LEFT_HIGH_SPEED TURN_RIGHT_HIGH_SPEED DESTROYED_FRONT DESTROYED_RIGHT DESTROYED_BACK DESTROYED_LEFT WEAPONSET_GARRISONED WEAPONLOCK_PRIMARY WEAPONLOCK_SECONDARY WEAPONLOCK_TERTIARY DEATH_1 DEATH_2 DEATH_3 DEATH_4 DECAY THROWN_PROJECTILE ABOUT_TO_HIT BACKING_UP ENGAGED DEFLECT_SPECIAL_POWER WEAPONSET_CLOSE_RANGE WEAPONSTATE_CLOSE_RANGE WEAPONSET_RAMPAGE RAMPAGE_ANIMATION_ONLY STUNNED_STANDING_UP REACT_1 REACT_2 REACT_3 REACT_4 REACT_5 REACT_6 SELECTED GUARDING HIT_REACTION HIT_LEVEL_1 HIT_LEVEL_2 HIT_LEVEL_3 GRAB_BUILDING_CHUNK DEATH_5 AIM_HIGH AIM_STRAIGHT AIM_LOW AIM_NEAR AIM_FAR DIVING USER_1 USER_2 USER_3 USER_4 USER_5 SWOOPING BURNT_MODEL BURNT_TEXTURE WEAPONSET_CONTESTING_BUILDING DEBUG PASSENGER_VARIATION_1 PASSENGER_VARIATION_2 PASSENGER_VARIATION_3 PASSENGER_VARIATION_4 PASSENGER_VARIATION_5 EMOTION_GUNG_HO EMOTION_LOOK_TO_SKY EMOTION_CELEBRATING EMOTION_AMUSED EMOTION_MORALE_HIGH EMOTION_MORALE_LOW EMOTION_COWER USING_SPECIAL_ABILITY WORLD_BUILDER SIEGE_CONTAIN LEVELED SPECIAL_POWER_1 SPECIAL_POWER_2 SPECIAL_POWER_3 MOUNTED OATH_FULLFILLED RESURRECTED DESTROYED_WEAPON JUST_BUILT BASE_BUILD HERO RIDER1 RIDER2 RIDER3 RIDER4 RIDER5 RIDER6 RIDER7 RIDER8 WEAPONSET_RIDER1 WEAPONSET_RIDER2 WEAPONSET_RIDER3 WEAPONSET_RIDER4 WEAPONSET_RIDER5 WEAPONSET_RIDER6 WEAPONSET_RIDER7 WEAPONSET_RIDER8 WEAPONSET_SPECIAL_ONE WEAPONSET_SPECIAL_TWO WADING SWIMMING WEAPONSET_CONTAINED WEAPONSTATE_CONTAINED HORDE_EMPTY SPECIAL_WEAPON_ONE SPECIAL_WEAPON_TWO SPECIAL_WEAPON_THREE WEAPONSET_MOUNTED EATING CHANT_FOR_GROND WEAPONSET_ENRAGED WEAPONSET_SPECIAL_UPGRADE RUNNING_OFF_MAP ONE_RING PRIMARY_FORMATION ALTERNATE_FORMATION HARVEST_PREPARATION HARVEST_ACTION SPECIAL_ENEMY_NEAR HIDDEN PUTTING_ON_RING TAKING_OFF_RING UPGRADE_BOILING_OIL UPGRADE_GARRISON UPGRADE_POSTERN_GATE UPGRADE_TREBUCHET UPGRADE_NUMENOR_STONEWORK UPGRADE_BLANK2 UPGRADE_BLANK3 UPGRADE_BLANK4 DRILL0 DRILL1 DRILL2 DRILL3 DRILL4 RIDERLESS DRAFTED UPGRADED_ARMOR DISGUISED WEAPONSET_TOGGLE_1 WEAPONSET_TOGGLE_2 WEAPONSET_TOGGLE_3 WEAPONSET_HERO_MODE DOCKING_PRE_DOCK TURRET_ANGLE_0 TURRET_ANGLE_90 TURRET_ANGLE_180 TURRET_ANGLE_270 USING_COMBO_LOCOMOTOR WAR_CHANT EMOTION_QUARRELSOME QUARRELSOME_FIGHTING UNCONTROLLABLE INITIAL_ENRAGED ARMORSET_VETERAN ARMORSET_ELITE ARMORSET_HERO ARMORSET_WEAK_VERSUS_BASEDEFENSES ARMORSET_ALTERNATE_FORMATION ARMORSET_MOUNTED ARMORSET_PLAYER_UPGRADE ARMORSET_PLAYER_UPGRADE_2 ARMORSET_PLAYER_UPGRADE_3 ARMORSET_UNBESIEGEABLE EMOTION_TAUNTING EMOTION_DOOM EMOTION_POINTING WEAPON_TOGGLING INVULNERABLE MARCHING UPGRADE_ECONOMY_BONUS COMING_OUT_OF_FACTORY DESTROYED_WHILST_BEING_CONSTRUCTED COLLAPSING EMOTION_UNCONTROLLABLY_AFRAID
0x00ec80d0	0x012c80d0	184	UNCERTAIN	0.641	no	6	american	LC_TIME	american ENU american english ENU american-english ENU australian ENA belgian NLB canadian ENC chh ZHH chi ZHI chinese CHS chinese-hongkong ZHH chinese-simplified CHS chinese-singapore ZHI chinese-traditional CHT dutch-belgian NLB english-american ENU english-aus ENA english-belize ENL english-can ENC english-caribbean ENB english-ire ENI english-jamaica ENJ english-nz ENZ english-south africa ENS english-trinidad y tobago ENT english-uk ENG english-us ENU english-usa ENU french-belgian FRB french-canadian FRC french-luxembourg FRL french-swiss FRS german-austrian DEA german-lichtenstein DEC german-luxembourg DEL german-swiss DES irish-english ENI italian-swiss ITS norwegian NOR norwegian-bokmal NOR norwegian-nynorsk NON portuguese-brazilian PTB spanish-argentina ESS spanish-bolivia ESB spanish-chile ESL spanish-colombia ESO spanish-costa rica ESC spanish-dominican republic ESD spanish-ecuador ESF spanish-el salvador ESE spanish-guatemala ESG spanish-honduras ESH spanish-mexican ESM spanish-modern ESN spanish-nicaragua ESI spanish-panama ESA spanish-paraguay ESZ spanish-peru ESR spanish-puerto rico ESU spanish-uruguay ESY spanish-venezuela ESV swedish-finland SVF swiss DES uk ENG us ENU usa ENU america USA britain GBR china CHN czech CZE england GBR great britain GBR holland NLD hong-kong HKG new-zealand NZL nz NZL pr china CHN pr-china CHN puerto-rico PRI slovak SVK south africa ZAF south korea KOR south-africa ZAF south-korea KOR trinidad & tobago TTO uk GBR united-kingdom GBR united-states USA us USA true false LC_ALL LC_COLLATE LC_CTYPE LC_MONETARY LC_NUMERIC LC_TIME
0x00eaa068	0x012aa068	181	NAME_TABLE	1.0	yes	6	OBSTACLE	MOVE_FOR_NOONE	OBSTACLE SELECTABLE IMMOBILE CAN_ATTACK STICK_TO_TERRAIN_SLOPE CAN_CAST_REFLECTIONS SHRUBBERY STRUCTURE INFANTRY CAVALRY MONSTER MACHINE AIRCRAFT HUGE_VEHICLE DOZER SWARM_DOZER HARVESTER COMMANDCENTER CASTLE_CENTER SALVAGER WEAPON_SALVAGER TRANSPORT BRIDGE LANDMARK_BRIDGE BRIDGE_TOWER PROJECTILE PRELOAD NO_GARRISON CASTLE_KEEP WAVE_EFFECT NO_COLLIDE REPAIR_PAD HEAL_PAD STEALTH_GARRISON SUPPLY_GATHERING_CENTER AIRFIELD DRAWABLE_ONLY MP_COUNT_FOR_VICTORY REBUILD_HOLE SCORE SCORE_CREATE SCORE_DESTROY NO_HEAL_ICON CAN_RAPPEL PARACHUTABLE CAN_BE_REPULSED MOB_NEXUS IGNORED_IN_GUI CRATE CAPTURABLE CLEARED_BY_BUILD SMALL_MISSILE ALWAYS_VISIBLE UNATTACKABLE MINE CLEANUP_HAZARD PORTABLE_STRUCTURE ALWAYS_SELECTABLE ATTACK_NEEDS_LINE_OF_SIGHT WALK_ON_TOP_OF_WALL DEFENSIVE_WALL FS_POWER FS_FACTORY FS_BASE_DEFENSE FS_TECHNOLOGY AIRCRAFT_PATH_AROUND LOW_OVERLAPPABLE FORCEATTACKABLE AUTO_RALLYPOINT OATHBREAKER POWERED PRODUCED_AT_HELIPAD DRONE CAN_SEE_THROUGH_STRUCTURE BALLISTIC_MISSILE CLICK_THROUGH SUPPLY_SOURCE_ON_PREVIEW PARACHUTE GARRISONABLE_UNTIL_DESTROYED BOAT IMMUNE_TO_CAPTURE HULK SHOW_PORTRAIT_WHEN_CONTROLLED SPAWNS_ARE_THE_WEAPONS CANNOT_BUILD_NEAR_SUPPLIES SUPPLY_SOURCE REVEAL_TO_ALL DISGUISER INERT HERO IGNORES_SELECT_ALL DONT_AUTO_CRUSH_INFANTRY SIEGE_TOWER TREE SHRUB CLUB ROCK THROWN_OBJECT GRAB_AND_KILL OPTIMIZED_PROP ENVIRONMENT DEFLECT_BY_SPECIAL_POWER WORKING_PASSENGER BASE_FOUNDATION NEED_BASE_FOUNDATION REACT_WHEN_SELECTED GIMLI ORC HORDE COMBO_HORDE NONOCCLUDING NO_FREEWILL_ENTER CAN_USE_SIEGE_TOWER CAN_RIDE_SIEGE_LADDER TACTICAL_MARKER PATH_THROUGH_EACH_OTHER NOTIFY_OF_PREATTACK GARRISON MELEE_HORDE BASE_SITE INERT_SHROUD_REVEALER OCL_BIT SPELL_BOOK DEPRECATED PATH_THROUGH_INFANTRY NO_FORMATION_MOVEMENT NO_BASE_CAPTURE ARMY_SUMMARY HOBBIT NOT_AUTOACQUIRABLE URUK CHUNK_VENDOR ARCHER MOVE_ONLY FS_CASH_PRODUCER ROCK_VENDOR BLOCKING_GATE CAN_RIDE_BATTERING_RAM SIEGE_LADDER MINE_TRIGGER BUFF GRAB_AND_DROP PORTER SCARY CRITTER_EMITTER SALT_LICK CAN_ATTACK_WALLS IGNORE_FOR_VICTORY DO_NOT_CLASSIFY WALL_UPGRADE ARMY_OF_DEAD TAINT BASE_DEFENSE_FOUNDATION NOT_SELLABLE WEBBED ____OBSOLETE____ BUILD_FOR_FREE IGNORE_FOR_EVA_SPEECH_POSITION MADE_OF_WOOD MADE_OF_METAL MADE_OF_STONE MADE_OF_DIRT FACE_AWAY_FROM_CASTLE_KEEP BANNER I_WANT_TO_EAT_YOU INDUSTRY_AFFECTED GANDALF ARAGORN HAS_HEALTH_BAR BIG_MONSTER DEPLOYED_MINE CANNOT_RETALIATE CREEP TAINTEFFECT TROLL VITAL_FOR_BASE_SURVIVAL DO_NOT_PICK_ME_WHEN_BUILDING SUMMONED HIDE_IF_FOGGED ALWAYS_SHOW_HOUSE_COLOR MOVE_FOR_NOONE
0x00ea8d40	0x012a8d40	116	NAME_TABLE	1.0	yes	4	SPECIAL_INVALID	SPECIAL_HARVEST	SPECIAL_INVALID SPECIAL_DAISY_CUTTER SPECIAL_PARADROP_AMERICA SPECIAL_CARPET_BOMB SPECIAL_CLUSTER_MINES SPECIAL_UP_FOR_GRABS_2 SPECIAL_UP_FOR_GRABS_3 SPECIAL_UP_FOR_GRABS_4 SPECIAL_NEUTRON_MISSILE SPECIAL_UP_FOR_GRABS SPECIAL_DEFECTOR SPECIAL_TERROR_CELL SPECIAL_AMBUSH SPECIAL_BLACK_MARKET_NUKE SPECIAL_ANTHRAX_BOMB SPECIAL_SCUD_STORM SPECIAL_PRINCE_OF_DOL_ARMOTH SPECIAL_CRATE_DROP SPECIAL_A10_THUNDERBOLT_STRIKE SPECIAL_DETONATE_DIRTY_NUKE SPECIAL_ARTILLERY_BARRAGE SPECIAL_MISSILE_DEFENDER_LASER_GUIDED_MISSILES SPECIAL_REMOTE_CHARGES SPECIAL_TIMED_CHARGES SPECIAL_HACKER_DISABLE_BUILDING SPECIAL_TANKHUNTER_TNT_ATTACK SPECIAL_BLACKLOTUS_CAPTURE_BUILDING SPECIAL_MAN_THE_WALLS SPECIAL_OSGILIATH_VETERANS SPECIAL_INFANTRY_CAPTURE_BUILDING SPECIAL_RADAR_VAN_SCAN SPECIAL_SPY_DRONE SPECIAL_DISGUISE_AS_VEHICLE SPECIAL_REPAIR_VEHICLES SPECIAL_PARTICLE_UPLINK_CANNON SPECIAL_RANGER_AMBUSH SPECIAL_CHANGE_BATTLE_PLANS SPECIAL_CIA_INTELLIGENCE SPECIAL_CLEANUP_AREA SPECIAL_GRAB_PASSENGER SPECIAL_GRAB_CHUNK SPECIAL_SPAWN_ORCS SPECIAL_RAIN_OF_FIRE SPECIAL_CHARGE_ATTACK SPECIAL_PART_THE_HEAVENS SPECIAL_DEFLECT_PROJECTILES SPECIAL_SIEGEDEPLOY SPECIAL_STOP SPECIAL_ARROW_STORM SPECIAL_SWOOP_ATTACK SPECIAL_LEVEL_ATTACK SPECIAL_LEVEL_POSITION SPECIAL_GIVE_UPGRADE SPECIAL_ROUSING_SPEECH SPECIAL_GENERAL_TARGETLESS SPECIAL_GENERAL_TARGETLESS_TWO SPECIAL_SHIELD_BUBBLE SPECIAL_TOGGLE_MOUNTED SPECIAL_WIZARD_BLAST SPECIAL_GLORIOUS_CHARGE SPECIAL_WOUND_ARROW SPECIAL_HERO_MODE SPECIAL_FLAMING_SWORD SPECIAL_FIRE_WHIP SPECIAL_BALROG_BREATH SPECIAL_MTTROLL_BORED SPECIAL_BALROG_WINGS SPECIAL_BALROG_SCREAM SPECIAL_TRAINING SPECIAL_TELEKENETIC_PUSH SPECIAL_REVEAL_MAP_AREA SPECIAL_KNIFE_ATTACK SPECIAL_SPAWN_OATHBREAKERS SPECIAL_TRIGGER_ATTRIBUTE_MODIFIER SPECIAL_DOMINATE_ENEMY SPECIAL_WORD_OF_POWER SPECIAL_KNIFE_FIGHTER SPECIAL_SPELL_BOOK_CLOUD_BREAK SPECIAL_SPELL_BOOK_BALROG_ALLY SPECIAL_SPELL_BOOK_CALL_THE_HORDE SPECIAL_SPELL_BOOK_DARKNESS SPECIAL_SPELL_BOOK_DEVASTATION SPECIAL_SPELL_BOOK_EYE_OF_SAURON SPECIAL_SPELL_BOOK_FREEZING_RAIN SPECIAL_SPELL_BOOK_FUEL_THE_FIRES SPECIAL_SPELL_BOOK_INDUSTRY SPECIAL_SPELL_BOOK_PLUS_1_NAZGUL SPECIAL_SPELL_BOOK_PLUS_100_COMMAND_POINTS SPECIAL_SPELL_BOOK_TAINT SPECIAL_SPELL_BOOK_WAR_CHANT SPECIAL_SPELL_BOOK_ANDURIL SPECIAL_SPELL_BOOK_ARMY_OF_THE_DEAD SPECIAL_SPELL_BOOK_DRAFT SPECIAL_SPELL_BOOK_EAGLE_ALLIES SPECIAL_SPELL_BOOK_ELVEN_ALLIES SPECIAL_SPELL_BOOK_ELVEN_GIFTS SPECIAL_SPELL_BOOK_ELVEN_WOOD SPECIAL_SPELL_BOOK_ENT_ALLIES SPECIAL_SPELL_BOOK_GANDALF_THE_WHITE SPECIAL_SPELL_BOOK_HEAL SPECIAL_SPELL_BOOK_ROHAN_ALLIES SPECIAL_SPELL_BOOK_PALANTIR_VISION SPECIAL_ATHELAS SPECIAL_AT_VISIBLE_OBJECT SPECIAL_SARUMAN_FIRE_BALL SPECIAL_DISGUISE SPECIAL_SMITE_CANCELDISGUISE SPECIAL_ATTRIBUTEMOD_CANCELDISGUISE SPECIAL_KINGS_FAVOR SPECIAL_FAKE_LEADERSHIP_BUTTON SPECIAL_GIVE_UPGRADE_NEAREST SPECIAL_SCREECH SPECIAL_REPAIR_STRUCTURE SPECIAL_EAT SPECIAL_GIMLI_LEAP SPECIAL_HARVEST
0x00ea6670	0x012a6670	86	NAME_TABLE	1.0	yes	3	DESTROYED	BUILD_BEING_CANCELED	DESTROYED CAN_ATTACK UNDER_CONSTRUCTION UNSELECTABLE NO_COLLISIONS NO_ATTACK AIRBORNE_TARGET PARACHUTING REPULSOR HIJACKED AFLAME BURNED WET IS_FIRING_WEAPON IS_BRAKING STEALTHED HIDDEN DETECTED CAN_STEALTH SOLD UNDERGOING_REPAIR RECONSTRUCTING IS_ATTACKING NO_AUTO_ACQUIRE USING_ABILITY IS_AIMING_WEAPON NO_ATTACK_FROM_AI IGNORING_STEALTH IS_MELEE_ATTACKING GUARD_SELECTION DEATH_1 DEATH_2 DEATH_3 DEATH_4 DEATH_5 CONTESTED CONTESTING_BUILDING HORDE_MEMBER RIDERLESS RIDER_IS_PILOT RIDER1 RIDER2 RIDER3 RIDER4 RIDER5 RIDER6 RIDER7 RIDER8 IMMOBILE FLEE_OFF_MAP NOT_IN_WORLD INAUDIBLE CHANTING ENRAGED CREATE_DRAWABLE_WITH_LOW_DETAIL SINKING RAMPAGING INSIDE_GARRISON DEPLOYED UNATTACKABLE ENCLOSED TEMPORARILY_DEFECTED TAGGED DEPLOYING BLOODTHIRSTY PORTER_TAGGED GRAB_AND_DROP STAND_GROUND UNCONTROLLABLY_SCARED SPECIAL_ABILITY_PACKING_UNPACKING_OR_USING PLEASE_EAT_ME UPDATING_AI HUNT_WHEN_IDLE IGNORE_AI_COMMAND RUNNING_DOWN_FROM_BEHIND DO_NOT_SCORE CAN_NOT_WALK_ON MARCH_OF_DEATH DO_NOT_PICK_ME INHERITED_FROM_ALLY_TEAM SWITCHED_WEAPONS END_FIRE_STATE BOOKENDING ELVISH_EXPRESSLY INSIDE_CASTLE BUILD_BEING_CANCELED
0x00ed7018	0x012d7018	70	UNCERTAIN	0.329	no	3	Unknown ATI Device	i815	Unknown ATI Device Rage II Rage II+ Rage IIc PCI Rage IIc AGP Rage 128 Mobility Rage 128 Mobility M3 Rage 128 Mobility M4 Rage 128 PRO ULTRA Rage 128 4X Rage 128 PRO GL Rage 128 PRO VR Rage 128 GL Rage 128 VR Rage PRO Rage PRO Mobility Mobility Radeon Mobility Radeon VE(M6) Radeon VE Radeon DDR Radeon Mobility R7500 R7500 R8500 Unknown 3DLabs Device Permedia 300SX 500TX Delta MX Gamma Permedia2S (ST) Permedia3 R3 Permedia4 R4 G2 Oxygen VX1 TI P1 Permedia2 Unknown 3Dfx Device Voodoo 5500 AGP Voodoo 3 Banshee Voodoo 2 Voodoo Graphics Voodoo Rush Unknown Matrox Device G550 G400 G200 AGP G200 PCI G100 PCI G100 AGP Millennium II AGP Millennium II PCI Mystique Millennium Parhelia Parhelia AGP 8X Unknown PowerVR Device Kyro Unknown S3 Device Savage MX Savage 4 Savage 200 Unknown Intel Device i810 i810e i815
0x00eac410	0x012ac410	58	NAME_TABLE	1.0	yes	2	NONE	ATMOSPHERIC_EFFECTS	NONE STRUCTURE UNIT SHRUBBERY MISC_MAN_MADE MISC_NATURAL DEBRIS SYSTEM AUDIO TEST FOR_REVIEW ROAD WAYPOINT EMITTERS SCORCH OBSOLETE NEXT GONDOR ROHAN MORDOR ISENGARD NEUTRAL PROPS HEROES TROOPS REGION MINAS_TIRITH OSGILIATH DEAD_MARSHES EDORAS HELMS_DEEP PATHS_OF_DEAD FANGORN_FOREST MISTY_MOUNTAINS RIVENDELL MORIA SHIRE MISC_VILLAGE MISC_TALL_GRASSLAND MISC_TOWN MISC_WOODLAND MISC_WATER ROCKS TREES WEATHERTOP LOTHLORIEN AMON_HEN CIRITH_UNGOL ITHILIEN MOUNTAINS GRASSLANDS FORESTS BARREN AI TACTICAL_MARKERS CINEMATICS SKYBOXES ATMOSPHERIC_EFFECTS
0x00eb6078	0x012b6078	53	NAME_TABLE	1.0	yes	2	NONE	PALANTIR_VISION	NONE ATTACK_DAMAGE_AREA ATTACK_SCATTER_AREA ATTACK_CONTINUE_AREA GUARD_AREA EMERGENCY_REPAIR FRIENDLY_SPECIALPOWER OFFENSIVE_SPECIALPOWER SUPERWEAPON_SCATTER_AREA PARTICLECANNON A10STRIKE CARPETBOMB DAISYCUTTER PARADROP REVEAL_MAP_AREA SPELL_BOOK_ELVEN_WOOD SPELL_BOOK_TAINT NUCLEARMISSILE ARTILLERYBARRAGE CLUSTERMINES SCUDSTORM ANTHRAXBOMB AMBUSH RADAR SPYDRONE ARROWSTORM LIGHTNING_SWORD SUMMON_BALROG FIRE_BREATH TRAINING LEAP SUMMON_OATH_BREAKERS ATHELAS FELL_BEAST_SWOOP EAGLE_SWOOP INDUSTRY DEVASTATION TAINT EYE_OF_SAURON HEAL ELVEN_ALLIES ROHAN_ALLIES ELVEN_WOOD ENT_ALLIES ARMY_OF_THE_DEAD EAGLE_ALLIES KINGS_FAVOR DOMINATE SPEECH_CRAFT CAPTAIN_OF_GONDOR ARCHERY_TRAINING WAR_CHANT PALANTIR_VISION
0x00eb5f80	0x012b5f80	51	NAME_TABLE	1.0	yes	2	NONE	HORDE_SET_FORMATION	NONE FOUNDATION_CONSTRUCT FOUNDATION_CONSTRUCT_CANCEL UNIT_BUILD CANCEL_UNIT_BUILD PLAYER_UPGRADE OBJECT_UPGRADE CASTLE_UPGRADE CANCEL_UPGRADE ATTACK_MOVE GUARD GUARD_WITHOUT_PURSUIT GUARD_FLYING_UNITS_ONLY STOP WAYPOINTS EXIT_CONTAINER EVACUATE EVACUATE_CONTESTED EXECUTE_UNUSED_01 BEACON_DELETE SET_RALLY_POINT SELL FIRE_WEAPON SPECIAL_POWER PURCHASE_SCIENCE COMBATDROP SWITCH_WEAPON AUTOCAST_WEAPON HIJACK_VEHICLE CONVERT_TO_CARBOMB PLACE_BEACON SPECIAL_POWER_FROM_COMMAND_CENTER CASTLE_UNPACK CASTLE_PACK TOGGLE_WEAPON HORDE_TOGGLE_FORMATION SPELL_BOOK ONE_RING CREW_EVACUATE BLOODTHIRSTY CLOSE_GATE OPEN_GATE TOGGLE_GATE TOGGLE_WEAPONSET REVIVE MONSTERDOCK TOGGLE_NO_AUTO_ACQUIRE WAKE_AUTO_PICKUP CASTLE_UNPACK_EXPLICIT_OBJECT START_SELF_REPAIR HORDE_SET_FORMATION
0x00eb85d0	0x012b85d0	50	NAME_TABLE	1.0	yes	2	None	PickUp	None Normal Arrow Scroll Target Move AttackMove AttackObj ForceAttackObj ForceAttackGround Build InvalidBuild GenericInvalid Select EnterFriendly EnterAggressive SetRallyPoint GetRepaired GetHealed DoRepair ResumeConstruction CaptureBuilding SnipeVehicle LaserGuidedMissiles TankHunterTNTAttack StabAttack PlaceRemoteCharge PlaceTimedCharge Defector Dock FireFlame FireBomb PlaceBeacon DisguiseAsVehicle Waypoint OutRange StabAttackInvalid PlaceChargeInvalid Hack ParticleUplinkCannon LivingWorldZoom LightPointParticle JoinHorde WeaponUpgrade ArmorUpgrade Beam Bombard Axe EvilAbilityObj PickUp
