class	verdict	registration_name	image_occurrences	nul_terminated_runs	zh_registers_it	ledger_rows	claimed_rvas
AIUpdateInterface	REGISTERED	AIUpdateInterface	4	1	yes	120	0x001167E0 0x0011CB70 0x0016A760 0x0016A770 0x001B49AE 0x001BD780 0x001BD79E 0x001EED50 0x001F1EF0 0x00220610 0x0026E8A0 0x0026E930 +95-more-see---rows
AODCrushCollide	REGISTERED	AODCrushCollide	1	1	no	5	0x0011EC20 0x0011ECA0 0x00215B90 0x00215C50 0x00215D00
AODHordeContain	REGISTERED	AODHordeContain	2	1	no	5	0x001161D0 0x00122FD0 0x00230580 0x00230980 0x002472D0
ActiveBody	REGISTERED	ActiveBody	2	1	yes	18	0x00019772 0x0010BDA0 0x0011F3A0 0x0011F420 0x00128C50 0x0020E810 0x0020F7C0 0x0020F9C0 0x0020FE20 0x00210B40 0x0027F130 0x005BF290 +6-more-see---rows
ActiveShroudUpgrade	ABSENT	ActiveShroudUpgrade	0	0	yes	3	0x0011D950 0x00124670 0x002D5280
AimWeaponBehavior	REGISTERED	AimWeaponBehavior	2	1	no	5	0x00115130 0x001151B0 0x001ECEF0 0x001ECF40 0x001ED000
AnimalAIUpdate	REGISTERED	AnimalAIUpdate	3	1	no	8	0x00116990 0x00116A10 0x0027E4E0 0x0027E5A0 0x0027EAE0 0x002B2FE0 0x002B3090 0x002B3220
AnimatedParticleSysBoneClientUpdate	REGISTERED	AnimatedParticleSysBoneClientUpdate	1	1	yes	5	0x00121A70 0x00602ED0 0x00602F60 0x00603020 0x007EFFF0
AnimationSoundClientBehavior	REGISTERED	AnimationSoundClientBehavior	3	1	no	7	0x00121D20 0x00121DA0 0x00604B40 0x00604DC0 0x00605380 0x00606060 0x00606120
AnimationSteeringUpdate	ABSENT	AnimationSteeringUpdate	0	0	yes	4	0x000A71C0 0x000A7210 0x000A73F0 0x005BF290
