uData	0x810120
Lang\%s\Lotr.csf	0x4389e0,0x855810,0x855ba0
data\lotr.str	0x4389e0
E99E8455-CC9B-488a-BA22-0E8A8F74F9FA	0x5f2b0,0x600f0
IMMOBILE	0x357fc0
CAN_ATTACK	0x6f0300,0x1cb4e0,0x1c09c0
DESTROYED	0x6f0300,0x1cb4e0,0x1c09c0
CATAPULT_ROCK	0x1c7cf0
FXParticleSystemInfo	0x5c990
Uncaught exception in Main::WndProc... probably should not happen 	0x5d18d
ImmDisableTextFrameService	0x600f0
IMM32.dll	0x600f0
lotrbfme.ico	0x5f2b0,0x67d580,0x67d620,0x50ba40,0x62ad50,0x66d260,0x66d540,0x82190,0x546920,0x68e090
rtsbuild	0x600f0
EALA-RTS-BUILD5	0x600f0
17:15:10	0x600f0
Nov 28 2005	0x600f0
%sSplash.bmp	0x600f0
%sSplash.jpg	0x600f0
-automatch	0x600f0
ELITE	0x20f000,0x20e380,0x1c08d0,0x1c50b0
VETERAN	0x20f000,0x20e380,0x1c08d0,0x1c50b0
MOVING	0x26cf90
FIRING_OR_PREATTACK_B	0x26cf90
FIRING_OR_PREATTACK_A	0x26cf90
ATTACKING	0x26cf90
FRONTCRUSHED	0x2fabe0,0x2fad50,0x1b9980,0x6f0300,0x1cb270,0x1c0930
TOPPLED	0x2fabe0,0x2fad50,0x1b9980,0x6f0300,0x1cb270,0x6eff30,0x1c0930
ARMOR	0x3678e0
ATTRIBUTE_NONE	0x3678e0
-noshellmap	0x63ba0
*.big	0x63ba0
Position	0x244b10
ControlPoint::ParseINIBlock::Invalid data passed in.	0x64680
Desync detected on frame %d on %u-%u-%u %u:%u:%u  	0x65470
CLIENT_DESYNC_%s.txt	0x65470
GameLogic changed outside of GameLogic::update()!	0x65470
Vector must be empty on load	0x372670,0x1f11e0,0x6b0a60,0xd7010,0x9d6c90,0x3c2830,0x65a60
std::vector	0x372670,0x1f11e0,0x6b0a60,0xd7010,0x9d6c90,0x3c2830,0x65a60
CRCParameterCheck	0x65d90
Default	0x5dfb50,0x5dfde0,0x5dece0,0x4ae080,0x4ade40,0x5e0070,0x1e0370,0x5e0300,0x5e0590,0x65f80
Function curve tangent angle value must be less than 89.9 degrees	0x697b0
Function curve does not have any keyframes	0x6acf0
'I' or 'O' expected, and only one of them	0x6adc0
OutPadding	0x6af00
InPadding	0x6af00
  Uncaught INI exception in GameEngine::update	0x6bc3e
-%i.exe	0x6c180
_EA_RTS_FILENAME=	0x6c180
_EA_RTS_HEADLESS=%i	0x6c180
Menus/BlankWindow.wnd	0x397190,0x4e88e0,0x6e7a0
Uncaught Exception during initialization.	0x7ac33
  Uncaught INI exception during initialization.	0x7abb8
ERROR:D3DFailureMessage	0x7aa03
ERROR:D3DFailurePrompt	0x7aa03
_EA_RTS_HEADLESS	0x79060,0x580150,0x6854f0
music.big	0x79060
lotra.sec	0x79060
