ordinal,name,rva,kind,pdb_rva_candidates
297,??0?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAE@ABV01@@Z,0x0000e575,code,1
299,??0?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAE@PAUIAtlStringMgr@1@@Z,0x00048c80,code,2
304,??0?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAE@PBD@Z,0x0002a59c,code,1
310,??0?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAE@XZ,0x00033199,code,2
326,??0CBrush@@QAE@K@Z,0x000153ae,code,1
330,??0CClientDC@@QAE@PAVCWnd@@@Z,0x000166dd,code,1
333,??0CColorDialog@@QAE@KKPAVCWnd@@@Z,0x0002d668,code,1
334,??0CCommandLineInfo@@QAE@XZ,0x0000c1b3,code,1
347,??0CDC@@QAE@XZ,0x00018a57,code,1
354,??0CDialog@@QAE@IPAVCWnd@@@Z,0x000124dd,code,1
356,??0CDialog@@QAE@XZ,0x0000e2e5,code,1
368,??0CDocument@@QAE@XZ,0x0000c907,code,1
383,??0CFile@@QAE@PBDI@Z,0x0008cc53,code,1
385,??0CFileDialog@@QAE@HPBD0K0PAVCWnd@@K@Z,0x00087010,code,1
395,??0CFrameWnd@@QAE@XZ,0x0000b625,code,1
416,??0CImageList@@QAE@XZ,0x000898d8,code,1
501,??0CPaintDC@@QAE@PAVCWnd@@@Z,0x000176c8,code,1
502,??0CPen@@QAE@HHK@Z,0x0001467c,code,1
516,??0CPropertyPage@@QAE@IIK@Z,0x000a2012,code,1
524,??0CPropertySheet@@QAE@IPAVCWnd@@I@Z,0x000a1ee9,code,1
526,??0CPropertySheet@@QAE@PBDPAVCWnd@@I@Z,0x000a2265,code,1
528,??0CPropertySheet@@QAE@XZ,0x000a1acb,code,1
547,??0CSingleDocTemplate@@QAE@IPAUCRuntimeClass@@00@Z,0x0000dc60,code,1
553,??0CStatusBar@@QAE@XZ,0x0000bab2,code,1
562,??0CToolBar@@QAE@XZ,0x0000badc,code,1
565,??0CView@@IAE@XZ,0x000123d0,code,1
566,??0CWinApp@@QAE@PBD@Z,0x0000a3bf,code,1
572,??0CWnd@@QAE@XZ,0x00033031,code,1
578,??1?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAE@XZ,0x000371b1,code,4
587,??1CButton@@UAE@XZ,0x000257d0,code,1
589,??1CClientDC@@UAE@XZ,0x00016750,code,1
591,??1CComboBox@@UAE@XZ,0x00025970,code,1
593,??1CCommandLineInfo@@UAE@XZ,0x00034a14,code,1
602,??1CDC@@UAE@XZ,0x00033d89,code,1
605,??1CDialog@@UAE@XZ,0x00018b47,code,1
606,??1CDialogBar@@UAE@XZ,0x00019b2c,code,1
616,??1CDocument@@UAE@XZ,0x0003637a,code,1
620,??1CEdit@@UAE@XZ,0x0002548c,code,1
629,??1CFile@@UAE@XZ,0x00038181,code,1
630,??1CFileDialog@@UAE@XZ,0x00086f37,code,1
635,??1CFrameWnd@@UAE@XZ,0x00035b92,code,1
651,??1CImageList@@UAE@XZ,0x00089bd9,code,1
657,??1CListBox@@UAE@XZ,0x00027318,code,1
658,??1CListCtrl@@UAE@XZ,0x00027814,code,1
709,??1CPaintDC@@UAE@XZ,0x00017722,code,1
715,??1CProgressCtrl@@UAE@XZ,0x00027ea0,code,1
718,??1CPropertyPage@@UAE@XZ,0x000a18b4,code,1
721,??1CPropertySheet@@UAE@XZ,0x000a1b1f,code,1
730,??1CRichEditCtrl@@UAE@XZ,0x000286d0,code,1
736,??1CSliderCtrl@@UAE@XZ,0x00027d00,code,1
741,??1CStatic@@UAE@XZ,0x0002562c,code,1
742,??1CStatusBar@@UAE@XZ,0x00036b34,code,1
748,??1CTabCtrl@@UAE@XZ,0x00028388,code,1
751,??1CToolBar@@UAE@XZ,0x00036ae3,code,1
754,??1CTreeCtrl@@UAE@XZ,0x000279bc,code,1
756,??1CView@@UAE@XZ,0x0003674e,code,1
757,??1CWinApp@@UAE@XZ,0x0003685f,code,1
760,??1CWnd@@UAE@XZ,0x0003327c,code,1
781,??4?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEAAV01@ABV01@@Z,0x00010f15,code,1
784,??4?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEAAV01@PBD@Z,0x0000ff74,code,3
907,??Y?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEAAV01@ABV?$CSimpleStringT@D$00@1@@Z,0x0000e599,code,1
908,??Y?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEAAV01@D@Z,0x0004b24e,code,6
911,??Y?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEAAV01@PBD@Z,0x0000e587,code,2
922,?accDoDefaultAction@CCheckListBox@@MAEJUtagVARIANT@@@Z,0x000a0b48,code,1
923,?accDoDefaultAction@CWnd@@UAEJUtagVARIANT@@@Z,0x0008e32f,code,1
928,?accHitTest@CWnd@@UAEJJJPAUtagVARIANT@@@Z,0x0008e317,code,1
930,?accLocation@CWnd@@UAEJPAJ000UtagVARIANT@@@Z,0x0008e2c6,code,1
932,?accNavigate@CWnd@@UAEJJUtagVARIANT@@PAU2@@Z,0x0008e2f2,code,1
934,?accSelect@CWnd@@UAEJJUtagVARIANT@@@Z,0x0008e2a5,code,1
943,?ActivateFrame@CFrameWnd@@UAEXH@Z,0x00010b11,code,1
959,?AddDocTemplate@CWinApp@@QAEXPAVCDocTemplate@@@Z,0x00002c41,code,1
980,?AddPage@CPropertySheet@@QAEXPAVCPropertyPage@@@Z,0x000a1c84,code,1
1010,?AddToRecentFileList@CWinApp@@UAEXPBD@Z,0x00011ac8,code,1
1063,?AfxFindResourceHandle@@YGPAUHINSTANCE__@@PBD0@Z,0x000130c1,code,1
1084,?AfxGetModuleState@@YGPAVAFX_MODULE_STATE@@XZ,0x0001af32,code,1
1091,?AfxGetThread@@YGPAVCWinThread@@XZ,0x000248c1,code,1
1122,?AfxMessageBox@@YGHIII@Z,0x0009cdf2,code,1
1123,?AfxMessageBox@@YGHPBDII@Z,0x0009cdd0,code,1
1161,?AfxRegisterWndClass@@YGPBDIPAUHICON__@@PAUHBRUSH__@@0@Z,0x0000b6ed,code,1
1187,?AfxThrowMemoryException@@YGXXZ,0x000868c9,code,1
1191,?AfxThrowOleException@@YGXJ@Z,0x000b4831,code,1
1207,?AfxWinMain@@YGHPAUHINSTANCE__@@0PADH@Z,0x00032f6f,code,1
1279,?Attach@CDC@@QAEHPAUHDC__@@@Z,0x00015d91,code,1
1280,?Attach@CGdiObject@@QAEHPAX@Z,0x000138b9,code,1
1283,?Attach@CMenu@@QAEHPAUHMENU__@@@Z,0x000901d9,code,1
1306,?BeginModalState@CFrameWnd@@UAEXXZ,0x00007a43,code,1
1308,?BeginWaitCursor@CCmdTarget@@QAEXXZ,0x000384ad,code,1
1327,?BuildPropPageArray@CPropertySheet@@UAEXXZ,0x000a1bac,code,1
1343,?CalcDynamicLayout@CControlBar@@UAE?AVCSize@@HK@Z,0x000168f3,code,2
1347,?CalcFixedLayout@CDialogBar@@UAE?AVCSize@@HH@Z,0x0001441b,code,1
1352,?CalcInsideRect@CControlBar@@UBEXAAVCRect@@H@Z,0x00015eed,code,1
1361,?CalcWindowRect@CView@@UAEXPAUtagRECT@@I@Z,0x00018fba,code,1
1362,?CalcWindowRect@CWnd@@UAEXPAUtagRECT@@I@Z,0x000160fc,code,1
1397,?CharToItem@CListBox@@UAEHII@Z,0x0009f524,code,2
1401,?CheckAutoCenter@CDialog@@UAEHXZ,0x00007cd8,code,1
1402,?CheckAutoCenter@CWnd@@UAEHXZ,0x000319a8,code,3
1405,?CheckDlgButton@CWnd@@QAEXHI@Z,0x000907e5,code,1
1425,?ClientToScreen@CWnd@@QBEXPAUtagRECT@@@Z,0x0000fee1,code,1
1439,?Close@CFile@@UAEXXZ,0x00010961,code,1
1470,?CommandToIndex@CToolBar@@QBEHI@Z,0x00096ae4,code,1
1482,?Compare@?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QBEHPBD@Z,0x00004dae,code,1
1483,?CompareItem@CComboBox@@UAEHPAUtagCOMPAREITEMSTRUCT@@@Z,0x000a3f90,code,4
1484,?CompareItem@CListBox@@UAEHPAUtagCOMPAREITEMSTRUCT@@@Z,0x000a3f90,code,4
1486,?CompareNoCase@?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QBEHPBD@Z,0x00048cd7,code,1
1489,?Concatenate@?$CSimpleStringT@D$00@ATL@@KAXAAV12@PBDH1H@Z,0x0001a7bd,code,1
1509,?Construct@CPropertySheet@@QAEXPBDPAVCWnd@@I@Z,0x000a22cb,code,1
1521,?ContinueModal@CPropertySheet@@UAEHXZ,0x000a1360,code,1
1522,?ContinueModal@CWnd@@UAEHXZ,0x0000778e,code,1
1545,?Create@CButton@@UAEHPBDKABUtagRECT@@PAVCWnd@@I@Z,0x0009f4a7,code,1
1546,?Create@CCheckListBox@@UAEHKABUtagRECT@@PAVCWnd@@I@Z,0x0009f825,code,1
1547,?Create@CComboBox@@UAEHKABUtagRECT@@PAVCWnd@@I@Z,0x0000e7ba,code,1
1551,?Create@CDialog@@UAEHPBDPAVCWnd@@@Z,0x0000da7a,code,1
